numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25220,204,Suplente,ANTÔNIO CÉSAR TAVARES ALVAIA,CÉSAR ALVAIA,M,13/06/1976,Válido,25
25100,55,Suplente,ELOISA CHAGAS DA SILVA OLIVEIRA,ELOISA CHAGAS FITNESS,F,16/01/1962,Válido,25
25800,381,Suplente,DOUGLAS BASTOS MAGALHÃES,DOUGLAS MAGALHÃES,M,13/11/1958,Válido,25
25111,3781,Eleito,BRENO VIANA DE MENDONÇA,BRENO GARIBALDE,M,08/09/1988,Válido,25
25012,93,Suplente,CARLA PARISH BAMBERG,CARLA BAMBERG,F,14/10/1972,Válido,25
25112,187,Suplente,JOSÉ EULER PEREIRA RAMOS,PROFESSOR EULER,M,17/11/1960,Válido,25
25456,51,Suplente,LUIZ BOSCO DE SÁ,CORRETOR BOSCO SÁ,M,12/05/1955,Válido,25
25000,832,Suplente,ANA MARIA DO NASCIMENTO ALVES,ANA ALVES,F,31/03/1970,Válido,25
25252,19,Suplente,MARIA JOSÉ GONÇALVES DOS SANTOS,MARIA JOSÉ,F,18/05/1971,Válido,25
25222,207,Suplente,ANA CRISTINA RIBEIRO SANTANA,CRISTINA RIBEIRO,F,04/07/1984,Válido,25
25300,144,Suplente,CLEDSON WADSON SOUZA LIMA,CLEDSON LIMA,M,09/06/1988,Válido,25
25555,95,Suplente,VALDSON DOS SANTOS,VALDSON,M,28/07/1964,Válido,25
25124,31,Suplente,VANEIDE RIBEIRO SANTOS,VANEIDE DA RECICLAGEM,F,03/11/1965,Válido,25
25809,138,Suplente,JOSÉ ADEMÁRIO DE JESUS,ADEMÁRIO,M,11/06/1967,Válido,25
25221,85,Suplente,ABRAHÃO CRISPIM DE SOUZA FILHO,ABRAHÃO CRISPIM,M,14/05/1982,Válido,25
25200,246,Suplente,JACKSON SANTOS LOBO,DOUTOR JACKSON LOBO,M,23/12/1950,Válido,25
25789,196,Suplente,MARCELO SANTOS DA CONCEIÇÃO,MARCELO DO COQUEIRAL,M,12/01/1970,Válido,25
25009,168,Suplente,ROSENILSON SALES DE SANTANA,NILSON INSTRUTOR,M,29/08/1969,Válido,25
25025,365,Suplente,NELSON FELIPE DA SILVA FILHO,NELSON FELIPE,M,24/12/1970,Válido,25
25138,865,Suplente,JOÃO PAES DA COSTA,JOÃO TARANTELA,M,13/09/1961,Válido,25
25888,83,Suplente,POMPEU TRANZILLO JUNIOR,PROFESSOR POMPEU,M,06/06/1965,Válido,25
25250,144,Suplente,SILVIO BATISTA DE OLIVEIRA,SILVIO PINTOR,M,04/08/1970,Válido,25
25234,81,Suplente,WELNA MATOS DOS SANTOS,WELNA MATOS,F,15/12/1974,Válido,25
25500,1892,Suplente,SAULO VIEIRA ANDRADE,SAULO VIEIRA,M,04/12/1985,Válido,25
25123,133,Suplente,GILZA ARAÚJO DOS SANTOS,GILZA GÓES SIMPLES ASSIM,F,17/09/1957,Válido,25
25777,52,Suplente,SANDRA FRANÇA DE OLIVEIRA,PROFESSORA SANDRA FRANÇA,F,02/04/1959,Válido,25
25334,12,Suplente,TATIANE RODRIGUES DE AZEVEDO,ARARA DO CAJU,F,11/11/1986,Válido,25
25255,136,Suplente,JOSÉ AILSON SILVA SOARES,SOARES POPULAR ALAGOAS,M,19/03/1984,Válido,25
70888,365,Não eleito,JÚLIO SANTOS BRITO,JÚLIO POPOTA,M,26/12/1981,Válido,70
70211,88,Não eleito,JOSÉ ANDRÉ DE JESUS,NEGUINHO DO FUTURO,M,12/05/1979,Válido,70
70001,16,Não eleito,MARCOS SERGIO DE SANTANA,MARCOS SERGIO,M,21/07/1965,Válido,70
70987,57,Não eleito,TARCISIO DO NASCIMENTO OLIVEIRA,TARCISIO OLIVEIRA,M,29/05/1981,Válido,70
70999,125,Não eleito,CLEDVALDO SANTOS BARRETO,FALCÃO,M,06/05/1974,Válido,70
70311,52,Não eleito,LENALDO VIEIRA DA SILVA,LENALDO VIEIRA,M,03/11/1970,Válido,70
70000,166,Não eleito,RAIMUNDO RIBEIRO EVANGELISTA,BAIANO DO SAO CARLOS,M,16/06/1957,Anulado sub judice,70
70234,7,Não eleito,LUCIANO ALMEIDA SOUSA,DR LUCIANO,M,07/02/1977,Válido,70
70789,44,Não eleito,JOSE RENATO LOPES,RENATO TAXISTA,M,16/04/1964,Válido,70
70123,289,Não eleito,VALDIR DOS SANTOS,VALDIR SANTOS,M,04/08/1958,Válido,70
70193,156,Não eleito,NEYME WILLIAMS SANTOS MATEUS,SGT NEYME MATEUS,M,25/06/1970,Válido,70
70005,31,Não eleito,ANA ZULMIRA DOS SANTOS,ANA MANICURE,F,19/01/1977,Válido,70
70167,34,Não eleito,WOLNER DOS SANTOS,POPÓ DO POVO,M,22/06/1982,Válido,70
70222,203,Não eleito,GEVERSON LUIZ DE JESUS SANTANA,GEVERSON SANTANA ONDA G,M,23/05/1982,Válido,70
70170,131,Não eleito,TIAGO LIMA DOS ANJOS,TIAGO LIMA BEBÊ,M,13/12/1984,Válido,70
70111,53,Não eleito,MARIA IZABEL DA SILVA,IZABEL SILVA,F,28/03/1967,Válido,70
70333,5,Não eleito,WILMA DOS SANTOS NASCIMENTO,WILMA NASCIMENTO,F,12/02/1978,Válido,70
70007,6,Não eleito,SÔNIA DOS SANTOS,SÔNIA SANTOS,F,26/03/1972,Válido,70
70143,122,Não eleito,JEOVÁ LUIZ DE OLIVEIRA,JEOVÁ DA GARRAFINHA,M,26/05/1965,Válido,70
70555,118,Não eleito,MARIA JILVANIA DOS SANTOS,VÂNIA DA ASSOCIAÇÃO,F,05/11/1970,Anulado sub judice,70
70666,266,Não eleito,JOÃO CARLOS MENEZES SANTOS,TIO JOÃO,M,23/06/1976,Válido,70
70444,314,Não eleito,FLÁVIO DA CONCEIÇÃO SANTOS,FLAVINHO ESTOURADO,M,08/10/1979,Válido,70
70456,182,Não eleito,CYNTHIA SILVA DOS SANTOS COSTA,CYNTHIA DO BATALHÃO,F,10/08/1973,Válido,70
23400,19,Suplente,MARA LÚCIA DE PAULA,IRMÃ MARA,F,15/06/1970,Válido,23
23333,242,Suplente,CRISTIANE DE ALMEIDA,CRISTIANE ALMEIDA,F,24/02/1988,Válido,23
23055,133,Suplente,SÍLVIO ALVES DE FREITAS,SÍLVIO DA AGAP,M,08/05/1955,Válido,23
23700,242,Suplente,ACIVAL CUSTÓDIO DÓRIA,CUSTÓDIO,M,05/05/1973,Válido,23
23345,180,Suplente,NERES FELIX DOS SANTOS,NERES ESTOFADOS,M,27/04/1969,Válido,23
23190,66,Suplente,SIMONE SILVA FEITOZA,SIMONE LINHARES,F,03/03/1970,Válido,23
23500,519,Suplente,ANTONIO SAMARONE DE SANTANA,DR SAMARONE,M,23/12/1954,Válido,23
23111,72,Suplente,NELSON DE FARIAS,NELSON FARIAS O AMIGO DO POVO,M,27/12/1967,Válido,23
23555,70,Suplente,MONICA ARCANJO DA SILVA,ENGENHEIRA MONICA ARCANJO,F,05/09/1986,Válido,23
23300,179,Suplente,MARCOS ANTONIO LIMA DA SILVA,MARCOS LIMA,M,20/06/1967,Válido,23
23523,536,Suplente,NÚZIA CAMPOS NASCIMENTO COSTA,NÚZIA COSTA,F,03/01/1965,Válido,23
23948,14,Suplente,JOÃO PAULO SPINOLA,JOAO PAULO SPINOLA,M,23/06/1948,Válido,23
23553,52,Suplente,MARCELO LUIZ DONATO SANTANA,MARCELO LUIZ,M,07/03/1986,Válido,23
23600,678,Suplente,CARLOS EDUARDO ARAÚJO DE OLIVEIRA,CADU FARMACÊUTICO,M,05/10/1978,Válido,23
23023,114,Suplente,GILMAR OLIVEIRA DA SILVA,GILMAR OLIVEIRA,M,03/10/1977,Válido,23
23321,242,Suplente,CARLOS MAGNO VASCONCELOS SANTOS,CARLOS MAGNO,M,02/05/1970,Válido,23
23000,2004,Suplente,LAYSE SANTIAGO COSTA JASMIM,LAYSE SANTIAGO,F,20/04/1991,Válido,23
23103,927,Suplente,JORGE VIEIRA DA CRUZ,SARGENTO VIEIRA,M,02/07/1974,Válido,23
23666,137,Suplente,CHARLES CARVALHO FERREIRA,PERITO CHARLES,M,14/11/1976,Válido,23
23800,54,Suplente,JOSÉ ANDERSON FARIAS ANDRADE,ANDERSON ANDRADE,M,25/02/1987,Válido,23
23777,311,Suplente,BRUNO MADUREIRA JESUS DOS SANTOS,BRUNO MADUREIRA,M,02/03/1994,Válido,23
23200,2929,Eleito,SHEYLA GALBA DA COSTA SANTOS,SHEYLA GALBA,F,30/12/1975,Válido,23
23222,370,Suplente,CLÁUDIO ALVES DA PAIXÃO,ENGENHEIRO CLÁUDIO BELARMINO,M,30/07/1982,Válido,23
23223,51,Suplente,CICERO GERONIMO DA SILVA,CICERO GERONIMO,M,28/01/1974,Válido,23
23444,56,Suplente,ELIANE GUSMÃO LOPES,ELIANE GUSMÃO,F,16/11/1965,Válido,23
23556,123,Suplente,HERÁCLITO MENEZES DA SILVA,HERÁCLITO MENEZES,M,08/10/1978,Válido,23
23192,533,Suplente,ADRIANA BATISTA DE GOIS,ENFERMEIRA ADRIANA FLOR,F,10/11/1974,Válido,23
23337,94,Suplente,VALMOR ALVES SOUZA,VALMOR ALVES O CAVEIRA,M,01/08/1976,Válido,23
23456,476,Suplente,IZABELITA ALVES DE ARAÚJO,IZABELITA ENFERMEIRA,F,04/12/1976,Válido,23
23888,1540,Suplente,LUCAS ARIBÉ ALVES,LUCAS ARIBÉ,M,21/05/1986,Válido,23
23100,35,Suplente,ALICE DOS REIS SOUZA,ALICE REIS,F,28/11/1980,Válido,23
23233,170,Suplente,YOAKAN JOCELIS SOARES BRITO,YOAKAN DO KARATE,M,10/01/1978,Válido,23
23999,2501,Eleito,JOSÉ RICARDO MARQUES DOS SANTOS,RICARDO MARQUES,M,16/05/1969,Válido,23
23232,255,Suplente,AMÉRICO AZEVEDO DE SOUZA,PROFESSOR AMÉRICO,M,12/05/1988,Válido,23
23123,285,Suplente,AUGUSTO CÉSAR MENDES OLIVEIRA,DELEGADO AUGUSTO CÉSAR,M,15/08/1977,Válido,23
27000,67,Não eleito,JOSE ADILSON MOREIRA COSTA,ADILSON CARTOLA,M,08/10/1959,Válido,27
27123,101,Não eleito,ANTONIO PEDRO DOS SANTOS NETO,TONHO DA ASSOMISE,M,03/11/1961,Válido,27
27270,73,Não eleito,ANA CARLA SANTOS DE SOUZA,ANA CARLA,F,17/07/1978,Válido,27
27555,14,Não eleito,ALFANINA SANTOS SIMÕES DOS REIS,ALFA SIMÕES,F,07/04/1976,Válido,27
27224,131,Não eleito,JOAO RAMILO DOS SANTOS,SARGENTO RAMILO,M,18/04/1943,Anulado sub judice,27
27003,43,Não eleito,JOSE MILTON DOS REIS,MILTON REIS,M,06/06/1960,Válido,27
27127,23,Não eleito,MAGNOVALDO SANTOS ALVES,PROFESSOR MAGNOVALDO,M,09/11/1950,Válido,27
27007,35,Não eleito,JOELSON SOARES VIEIRA,JOELSON,M,21/12/1970,Válido,27
27244,14,Não eleito,JOSEMAR SANTOS DE PONTES,PONTES,M,12/11/1973,Válido,27
27111,39,Não eleito,NOEL RAMOS DA SILVA,NOEL RAMOS,M,22/05/1968,Válido,27
27020,53,Não eleito,FRANCISCO DE ASSIS SANTANA ROCHA,SANTANA BAIÃO DA PENHA,M,03/10/1967,Válido,27
27027,58,Não eleito,JAILSON NERY FARO,JAILSON FARO,M,15/08/1964,Válido,27
27400,21,Não eleito,ALINE SANTOS,LILICA SANTOS,F,19/06/1974,Válido,27
27500,376,Não eleito,HELIO DO NASCIMENTO SANTOS,HÉLIO DA SAÚDE,M,14/01/1978,Válido,27
27800,17,Não eleito,LARISSA BRUNA DA SILVA SANTANA,LARISSA SANTANA,F,05/01/1996,Válido,27
27177,62,Não eleito,GEORGE DOS ANJOS LEMOS,GEORGE LEMOS,M,05/01/1961,Válido,27
27777,85,Não eleito,NELSON ARAUJO DOS SANTOS,NELSON ARAUJO,M,01/12/1942,Válido,27
27182,32,Não eleito,AGNALDO DOS SANTOS,AGNALDO LOTAÇÃO DO SANTA MARIA,M,01/03/1982,Válido,27
27444,42,Não eleito,IDELANIA PEREIRA DA SILVA,ALANA DANÇARINA,F,22/03/1978,Válido,27
27333,28,Não eleito,MIKAELLA SUYANE SANTOS DA CRUZ BIZERRA,MIKINHA DO POVO,F,06/08/1990,Válido,27
65130,99,Não eleito,ROMANTI-EZER MAROTTA SANTOS,CORINGA,M,10/04/1986,Anulado,65
65333,113,Suplente,ELIANA FERREIRA BRAGA,ELIANA BRAGA,F,06/12/1975,Válido,65
65651,174,Suplente,ANDRÉ PAULO DA SILVA,ANDRÉ PAULO,M,08/04/1982,Válido,65
65223,276,Suplente,MARCOS SERGIO VIEIRA DOS SANTOS,MARCO VIEIRA,M,15/07/1974,Válido,65
65001,97,Suplente,EURIMAR OLIVEIRA MARQUES,PROFESSORA EURIMAR,F,01/04/1967,Válido,65
65300,1376,Suplente,JOSE AUGUSTO DA SILVA,AUGUSTO DO JAPÃOZINHO,M,11/12/1970,Válido,65
65200,31,Não eleito,ALEXSANDRO LINO DA CONCEIÇÃO SILVA,CAPITÃO ALEXSANDRO LINO,M,04/12/1973,Anulado,65
65655,59,Suplente,ANGELA MARIA DE ALCANTARA,ÂNGELA ALCÂNTARA,F,12/06/1974,Válido,65
65111,589,Suplente,ADILMA GOMES SANTOS,ADILMA DA FAROLÂNDIA,F,10/10/1971,Válido,65
65400,257,Suplente,IVA MAYARA DOS SANTOS,IVA MAYARA DO CRAS,F,18/10/1991,Válido,65
65999,31,Suplente,LUCAS SANTOS,LUCAS SANTOS,M,06/02/1978,Válido,65
65888,386,Suplente,JOSIMAR MELO DE SANTANA,MAZINHO DO JAPÃOZINHO,M,11/07/1986,Válido,65
65500,59,Suplente,PUREZA MARIA NASCIMENTO SANTOS,PUREZA NASCIMENTO,F,06/03/1978,Válido,65
65800,276,Suplente,ADAILTON SOARES PEREIRA,ITA,M,21/04/1969,Válido,65
65100,1969,Eleito,ANTONIO BITTENCOURT JUNIOR,PROFESSOR BITTENCOURT,M,26/01/1969,Válido,65
