numero_partido,votos_legenda,nome_partido,sigla_partido
25,495,Democratas,DEM
70,345,AVANTE,AVANTE
23,1780,Cidadania,CIDADANIA
27,47,Democracia Cristã,DC
65,107,Partido Comunista do Brasil,PC do B
12,5038,Partido Democrático Trabalhista,PDT
11,344,PROGRESSISTAS,PP
22,139,Partido Liberal,PL
90,114,Partido Republicano da Ordem Social,PROS
55,333,Partido Social Democrático,PSD
20,163,Partido Social Cristão,PSC
40,110,Partido Socialista Brasileiro,PSB
17,137,Partido Social Liberal,PSL
16,70,Partido Socialista dos Trabalhadores Unificado,PSTU
43,28,Partido Verde,PV
50,408,Partido Socialismo e Liberdade,PSOL
14,692,Partido Trabalhista Brasileiro,PTB
33,134,Partido da Mobilização Nacional,PMN
13,1671,Partido dos Trabalhadores,PT
45,132,Partido da Social Democracia Brasileira,PSDB
77,120,Solidariedade,SOLIDARIEDADE
19,159,Podemos,PODE
10,185,REPUBLICANOS,REPUBLICANOS
18,123,Rede Sustentabilidade,REDE
51,125,Patriota,PATRIOTA
