numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
70100,179,Suplente,ELSON JOSE SOARES COELHO,DR ELSON SOARES,M,04/12/1959,Válido,70
70789,2529,Suplente,GABRIEL CALDAS DE MORAES,GABRIEL MORAES,M,23/03/1987,Válido,70
70153,152,Suplente,RAIMUNDO AUGUSTO DA SILVA ALCANTARA,AUGUSTO ALCANTARA,M,18/01/1968,Válido,70
70180,339,Suplente,EMANOEL ITAMAR DE ATAIDE LEITE JUNIOR,EMANOEL LEITE,M,26/08/1970,Válido,70
70700,132,Suplente,ORLANDINO DE SOUZA CARVALHO,GUERREIRO CARVALHO,M,27/01/1948,Válido,70
70192,3046,Suplente,ELENILSON JOSE SANTOS DA COSTA,DR ELENILSON,M,03/12/1968,Válido,70
70077,109,Suplente,NEUZA AMELIA BRAGA SALES,NEUZA SALES,F,30/07/1959,Válido,70
70111,302,Suplente,RAIMUNDO FRANCIMAR MARQUES DE SOUZA,RALEL MARQUES,M,28/04/1981,Válido,70
70012,194,Suplente,ERICO GERALDO SODRE SOUZA,ERICO SODRE,M,10/03/1983,Válido,70
70123,484,Suplente,ROBERTO SANDRO CARDOSO MONTEIRO,ROBERTO MONTEIRO,M,04/12/1971,Válido,70
70007,484,Suplente,PAULO FERNANDO SILVA FRANÇA JUNIOR,PAULO FRANÇA,M,23/05/1986,Válido,70
70770,394,Suplente,BRUNO NATAN ABRAHAM BENCHIMOL,BRUNO BENCHIMOL,M,12/07/1981,Válido,70
70045,63,Suplente,LUIZ CARLOS MIRANDA MACIEL,LUIZINHO DO TÁXI,M,17/05/1978,Válido,70
70000,5778,Eleito,JOSE LUIZ PANTOJA MORAIS,ZECA DO BARREIRO,M,17/12/1965,Válido,70
70232,186,Suplente,JOSE RAIMUNDO GIOCA MENDES,ZECA DO MANGUEIRÃO,M,31/01/1971,Válido,70
70614,271,Suplente,CARMEM EUNICE DA COSTA BARBOSA,CARMEM BARBOSA,F,18/01/1961,Válido,70
70222,350,Suplente,CRISTIANO PINHEIRO DIAS,CRISTIANO DIAS,M,18/07/1986,Válido,70
70033,110,Suplente,AUGUSTO CESAR DE ARAUJO SILVA,PR AUGUSTO CÉSAR,M,03/08/1978,Válido,70
70999,2050,Suplente,SAMUEL TADEU LIMA AFLALO,SAMUEL AFLALO,M,17/11/1962,Válido,70
70121,148,Suplente,SERGIO PAIVA RODRIGUES,SERJÃO DO POVÃO,M,21/01/1967,Válido,70
70777,678,Suplente,ANA VIRGÍNIA PANTOJA CORREA,VIRGÍNIA PANTOJA,F,29/09/1988,Válido,70
70888,117,Suplente,MARCIA CRISTINA SILVA E SILVA,MARCIA SILVA,F,24/07/1971,Válido,70
70377,511,Suplente,SILVIA NATASHA AMERICO DAMASCENO,SILVIA NATASHA,F,14/06/1980,Válido,70
70070,2205,Suplente,ANDERSON DE ARAUJO CARVALHO,EVANGELISTA ANDERSON,M,03/05/1982,Válido,70
70333,240,Suplente,RUY ERNANDO MARTINS,PROF RUY MARTINS,M,01/11/1979,Válido,70
70150,6,Suplente,MARIA EDUARDA ROCHA NASCIMENTO LOUCHARD,EDUARDA LOUCHARD,F,12/03/1975,Válido,70
70190,136,Suplente,INGRID SOUZA DA CONCEIÇÃO,CABO INGRID,F,06/06/1985,Válido,70
70444,2759,Suplente,MARCIEL SARAIVA DE ALMEIDA,MARCIEL MANÃO,M,25/01/1970,Válido,70
70139,98,Suplente,WALESKA MAY GIRARD PEREIRA,WALESKA GIRARD,F,13/09/1972,Válido,70
23199,62,Suplente,ODINEA REGINA PEREIRA DA SILVA,ODINEA  SILVA ,F,31/10/1970,Válido,23
23923,80,Suplente,JULIO LESSA PENA,JULIO LESSA,M,05/02/1951,Válido,23
23232,219,Suplente,JOÃO DOS SANTOS COSTA,JOÃO SANTOS,M,26/07/1952,Válido,23
23880,102,Suplente,GISELLE CRISTINA ESTRELA CORDEIRO,ESTRELA CRISTINA,F,29/04/1990,Válido,23
23150,285,Suplente,MANOEL CASTILHO GUEDES,MANOEL GUEDES PERSONAL,M,11/07/1972,Válido,23
23678,711,Suplente,RAIMUNDO NONATO PIRES FILGUEIRAS,NONATO FILGUEIRAS,M,04/04/1955,Válido,23
23171,27,Suplente,FRANCISCO CARLOS FERNANDES OLIVEIRA,XERIFE DO FUTURO,M,19/02/1958,Válido,23
23877,70,Suplente,KATIA REJANE DA SILVA MENEZES,KATIA MUNDICA,F,12/09/1966,Válido,23
23300,100,Suplente,ADELSON PASSOS FONSECA,ADELSON PASSOS,M,12/03/1985,Válido,23
23230,128,Suplente,BRUNO ALEX SILVA DE AQUINO,DR. BRUNO AQUINO,M,07/04/1987,Válido,23
23223,103,Suplente,SANDRO LUIZ MONTEIRO LOPES,IRMÃO SANDRO,M,23/12/1970,Válido,23
23000,3647,Eleito,MATHEUS DOS SANTOS CAVALCANTE,MATHEUS CAVALCANTE,M,16/04/1997,Válido,23
23012,405,Suplente,CARLOS SYDNEY PEREIRA DE CARVALHO,SYDNEY CARVALHO,M,02/10/1985,Válido,23
23444,2591,Suplente,PAULO MAURÍCIO OLIVEIRA PINHO,PAULO PINHO,M,15/08/1972,Válido,23
23023,2353,Suplente,JULIANA MARIA ZAIRE FONTELES DE LIMA,JULIANA FONTELES,F,05/08/1978,Válido,23
23200,938,Suplente,FRANCISCO DE ASSIS ALVES DE CASTRO,FRANCISCO CASTRO,M,20/11/1957,Válido,23
23655,208,Suplente,WALDEMAR JOSÉ RAMOS SOARES,WALDEMAR SOARES,M,30/07/1961,Válido,23
23285,26,Suplente,ALEX SANDRO PINTO PENICHE,ALEX DA PERIMETRAL,M,20/11/1985,Válido,23
23123,2705,Suplente,SIMONE CAROLE CAMPELO KAHWAGE DOS SANTOS,SIMONE KAHWAGE,F,09/02/1977,Válido,23
