numero_partido,votos_legenda,nome_partido,sigla_partido
70,295,AVANTE,AVANTE
23,2479,Cidadania,CIDADANIA
27,89,Democracia Cristã,DC
25,453,Democratas,DEM
11,645,PROGRESSISTAS,PP
15,6554,Movimento Democrático Brasileiro,MDB
90,331,Partido Republicano da Ordem Social,PROS
30,352,Partido Novo,NOVO
28,125,Partido Renovador Trabalhista Brasileiro,PRTB
12,975,Partido Democrático Trabalhista,PDT
22,608,Partido Liberal,PL
65,251,Partido Comunista do Brasil,PC do B
20,438,Partido Social Cristão,PSC
50,9895,Partido Socialismo e Liberdade,PSOL
55,1235,Partido Social Democrático,PSD
17,153,Partido Social Liberal,PSL
16,205,Partido Socialista dos Trabalhadores Unificado,PSTU
35,112,Partido da Mulher Brasileira,PMB
36,314,Partido Trabalhista Cristão,PTC
40,2039,Partido Socialista Brasileiro,PSB
14,583,Partido Trabalhista Brasileiro,PTB
43,144,Partido Verde,PV
45,788,Partido da Social Democracia Brasileira,PSDB
19,456,Podemos,PODE
13,1099,Partido dos Trabalhadores,PT
51,4999,Patriota,PATRIOTA
10,3350,REPUBLICANOS,REPUBLICANOS
80,99,Unidade Popular,UP
18,116,Rede Sustentabilidade,REDE
77,294,Solidariedade,SOLIDARIEDADE
