numero_partido,votos_legenda,nome_partido,sigla_partido
29,130,Partido da Causa Operária,PCO
45,2031,Partido da Social Democracia Brasileira,PSDB
33,626,Partido da Mobilização Nacional,PMN
16,263,Partido Socialista dos Trabalhadores Unificado,PSTU
40,578,Partido Socialista Brasileiro,PSB
36,530,Partido Trabalhista Cristão,PTC
14,811,Partido Trabalhista Brasileiro,PTB
43,363,Partido Verde,PV
27,350,Democracia Cristã,DC
70,926,AVANTE,AVANTE
23,4855,Cidadania,CIDADANIA
17,831,Partido Social Liberal,PSL
20,683,Partido Social Cristão,PSC
50,5642,Partido Socialismo e Liberdade,PSOL
55,34220,Partido Social Democrático,PSD
22,996,Partido Liberal,PL
65,568,Partido Comunista do Brasil,PC do B
90,505,Partido Republicano da Ordem Social,PROS
30,7879,Partido Novo,NOVO
28,3826,Partido Renovador Trabalhista Brasileiro,PRTB
21,397,Partido Comunista Brasileiro,PCB
12,2429,Partido Democrático Trabalhista,PDT
25,1318,Democratas,DEM
11,1793,PROGRESSISTAS,PP
15,1343,Movimento Democrático Brasileiro,MDB
77,955,Solidariedade,SOLIDARIEDADE
10,950,REPUBLICANOS,REPUBLICANOS
19,556,Podemos,PODE
80,274,Unidade Popular,UP
18,871,Rede Sustentabilidade,REDE
13,6167,Partido dos Trabalhadores,PT
51,746,Patriota,PATRIOTA
