numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
12555,235,Não eleito,RONALDO SILVA,RONALDO DO BOXE,M,20/02/1974,Válido,12
12624,35,Não eleito,FRANCISCO ALMEIDA FERREIRA,FRANCISCO ALMEIDA,M,10/12/1975,Válido,12
12121,85,Não eleito,FRANCISCO EDMILSON DE ALBUQUERQUE,EDMILSON,M,07/01/1964,Válido,12
12250,22,Não eleito,IVANIR JOSE BESSA DA SILVA,IVANIR,F,19/01/1957,Válido,12
12000,22,Não eleito,JOSE ORLANDO MOTA E SILVA,ORLANDO MOTA,M,29/11/1966,Válido,12
12111,3,Não eleito,CELIA REGINA AGUIAR DE SOUZA,CÉLIA,F,29/12/1968,Válido,12
12345,124,Não eleito,FRANCISCO BRIZOLA ALBUQUERQUE,BRIZOLA,M,06/03/1962,Válido,12
12123,219,Não eleito,CLEODON MARQUES DE FARIAS JUNIOR,CLEODON,M,27/06/1979,Válido,12
12131,36,Não eleito,JOSE DE RIBAMAR DUTRA DA SILVA,BODÃO,M,05/07/1955,Válido,12
12012,64,Não eleito,KLEBER MEDEIROS DE SOUZA,KLEBER,M,11/06/1973,Válido,12
12456,47,Não eleito,ADRIANA MARIA DE SOUZA,ADRIANA,F,07/08/1974,Válido,12
11011,1020,Eleito,GILDEAN DOS SANTOS SOUSA,GILDEAN GARI,M,23/11/1991,Válido,11
11789,276,Suplente,ANTONIO JOBSON ALVES DA SILVA,JOBSON ALVES,M,30/01/1978,Válido,11
11900,9,Suplente,DORACY LEILA RIBEIRO DA SILVA,LEILA BICICLETA,F,05/11/1972,Válido,11
11233,12,Suplente,RAPHAEL SANTOS MEDRADA,RAFAEL MEDRADA,M,24/06/1993,Válido,11
11777,56,Suplente,ELIANA VIANA DA SILVA,ELIANA VIANNA,F,12/01/1976,Válido,11
11321,55,Suplente,MAX ANTÔNIO REIS COSTA,MAX REIS,M,10/08/1984,Válido,11
11456,564,Suplente,NILO CAETANO PINHO CAVALCANTE,NILO CAETANO,M,14/01/1966,Válido,11
11555,173,Suplente,LORENA CRISTINA DOURADO DE SOUZA,PROF LORENA DOURADO,F,24/03/1973,Válido,11
11111,356,Suplente,CARLOS FRANK VIEIRA LIMA JUNIOR,FRANK JUNIOR,M,19/11/1981,Válido,11
11311,33,Suplente,NATHÁLIA DE ANDRADE CARMO,NATHÁLIA DE ANDRADE,F,25/12/1996,Válido,11
11222,327,Suplente,GLEZIANE DÉBORA PONTE GAUTHIER,DÉBORA PONTE,F,09/03/1981,Válido,11
11200,18,Suplente,TAIRA DA COSTA ALMEIDA SOUZA,THAY COSTA,F,04/06/1985,Válido,11
11700,326,Suplente,EDINALDO SILVA SOUSA,NALDO DO CRUVIANA,M,07/05/1983,Válido,11
11007,10,Suplente,ANDRE CORREA DOS SANTOS,ANDRE VILASI,M,17/05/1989,Válido,11
11123,704,Suplente,ELIZABETH SILVA DE ALMEIDA,BETH ALMEIDA,F,05/04/1973,Válido,11
11234,195,Suplente,LUIZ ALBUQUERQUE LOUREIRO,LUIZ DA APOSENTADORIA,M,28/07/1964,Válido,11
11800,180,Suplente,LUNAR KAREN MAGALHAES GOMES,LUNAR MAGALHAES,F,17/07/1978,Válido,11
11500,268,Suplente,CLEODIMAR DE SOUZA FONTOURA,CLÉO DO NOVA VIDA,M,18/08/1983,Válido,11
11999,1013,Suplente,WELLINGTON RABELO LOPES,WELLINGTON LOPES,M,01/03/1990,Válido,11
11611,163,Suplente,JOSÉ CARLOS DE SOUSA JUNIOR,JUNINHO INSUFILM,M,03/05/1965,Válido,11
11226,3,Suplente,RENATA DE CARVALHO BELCHIOR,RENATA CARVALHO,F,05/10/1990,Válido,11
11333,68,Suplente,ADRIÃO NASCIMENTO DE SOUZA,PASTOR ADRIÃO NASCIMENTO,M,03/11/1970,Válido,11
11888,150,Suplente,VALDECI DE FÁTIMA ANTONINI REOLON,VAL DO SALÃO,F,11/02/1973,Válido,11
11000,242,Suplente,LINDOMAR DA SILVA,ENFERMEIRO E PROF LINDOMAR,M,20/10/1976,Válido,11
