numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
30800,278,Não eleito,MAURICIO CORRÊA DA SILVA,MAURICIO CORRÊA,M,26/05/1970,Válido,30
30330,241,Não eleito,LUCAS AUGUSTO DA SILVA DE SOUZA,LUCAS AUGUSTO NOVO,M,19/11/1994,Válido,30
30333,98,Não eleito,PAULO DA SILVA RICARTE,PAULO RICARTE,M,05/05/1963,Válido,30
30003,411,Não eleito,WALKIRIA NEVES DA SILVA,WALKIRIA SILVA,F,20/11/1976,Válido,30
30300,332,Não eleito,VICTORIA ANDRADE PEIXOTO,VICTÓRIA PEIXOTO,F,10/12/1993,Válido,30
30000,704,Não eleito,LÁZARO DA COSTA NETO,LÁZARO NETO,M,23/02/1980,Válido,30
30030,732,Não eleito,RAISSA BERGAMASCHI LOPES,RAISSA LOPES,F,01/12/2001,Válido,30
55121,311,Suplente,RODRIGO HATA,RODRIGO HATA,M,22/08/1981,Válido,55
55666,347,Suplente,MARTA VIEIRA DE SOUZA BONFIM,MARTINHA,F,21/06/1963,Válido,55
55213,274,Suplente,MARISTELA SANCHES LOUREIRO SILVEIRA,MARI SANCHEZ,F,15/12/1983,Válido,55
55855,354,Suplente,CRISTIANE STEFANNY VIDAL VENCESLAU,CRIS STEFANNY,F,26/10/1979,Válido,55
55219,107,Suplente,MARISTELA MARIA BARCELOS,MARISTELA COM O POVO,F,25/03/1960,Válido,55
55001,143,Suplente,GISELLE DOS SANTOS OTTONI,PROFESSORA GISELLE,F,30/10/1967,Válido,55
55123,3861,Eleito,OTÁVIO AUGUSTO TRAD MARTINS,OTÁVIO TRAD,M,22/10/1985,Válido,55
55655,3850,Eleito,VANDERLEI PINHEIRO DE LIMA,DELEI PINHEIRO,M,29/04/1968,Válido,55
55067,793,Suplente,NIKYTHELMS CRISTOFFER GUESSO,NIKY GUESSO,M,13/08/1986,Válido,55
55555,3920,Eleito,VALDIR JOÃO GOMES DE OLIVEIRA,VALDIR GOMES,M,04/03/1953,Válido,55
55444,3750,Eleito,ROBERTO DE AVELAR,BETO AVELAR,M,10/06/1964,Válido,55
55550,59,Suplente,ROBISON MANIERO,MANIERO PELO BEM ESTAR ANIMAL,M,24/02/1969,Válido,55
55500,485,Suplente,THAIS MILLENA ALVES VIEIRA,THAIS MILLENA,F,11/08/1992,Válido,55
55155,2454,Suplente,CARLA CHARBEL STEPHANINI,CARLA STEPHANINI,F,27/10/1964,Válido,55
55202,185,Suplente,NIVALDO GOMES RIBEIRO,NIVALDO CABELEIREIRO,M,10/10/1957,Válido,55
55055,3194,Suplente,AMADEU WAGNER BORGES,AMADEU BORGES,M,11/06/1976,Válido,55
55900,1263,Suplente,SEVERINO CASSIMIRO DA SILVA JUNIOR,CABO CASSIMIRO,M,11/12/1980,Válido,55
55291,63,Suplente,CLEONICE MARIA MUNIZ DE OLIVEIRA,CLÉO MUNIZ,F,19/01/1970,Válido,55
55612,735,Suplente,DEVAIR DOMINGUES PEREIRA,DEVAIR PEREIRA,M,12/08/1982,Válido,55
55241,1476,Suplente,MARCELO RODRIGUES GONÇALVES,MARCELO RODRIGUES,M,22/07/1987,Válido,55
55888,376,Suplente,MARIA DIVA DA SILVA,DIVA E AMIGOS DO BEM,F,18/07/1973,Válido,55
55255,245,Suplente,ANA FLAVIA DOS SANTOS MARTINS,ANA FLAVIA,F,25/04/1995,Válido,55
55321,129,Suplente,CARLOS HENRIQUE BRAGA ESTODUTO,CARLOS ESTODUTO,M,27/12/1982,Válido,55
55743,134,Suplente,MARI SUMILDA VILALBA COENE,MARI VILALBA,F,01/09/1978,Válido,55
55000,1534,Suplente,ODILON DE OLIVEIRA JUNIOR,ODILON DE OLIVEIRA,M,05/07/1984,Válido,55
55222,557,Suplente,JAIME CARDOSO DA CRUZ,JAIMIM PRAJÁ,M,12/12/1968,Válido,55
55678,851,Suplente,HEDERSON FRITZ MORAIS DA SILVEIRA,ENFERMEIRO FRITZ,M,02/06/1975,Válido,55
55677,79,Suplente,ISABEL CRISTINA VARGAS,BELL VARGAS,F,23/11/1959,Válido,55
55153,906,Suplente,HUDSON PEREIRA BONFIM,GM BONFIM,M,30/06/1979,Válido,55
55800,3628,Suplente,FRANCISCO ALMEIDA TELES,CHIQUINHO TELLES,M,03/09/1970,Válido,55
55333,366,Suplente,WILLIAN AUGUSTO GONÇALVES VORMITTAG,GUTO VORMITTAG,M,08/04/1991,Válido,55
55020,122,Suplente,RAPHAEL PEREZ SCAPULATEMPO FILHO,RAPHAEL SCAPULATEMPO,M,16/12/1971,Válido,55
55111,3716,Eleito,ADEMAR VIEIRA JUNIOR,JUNIOR CORINGA,M,04/05/1978,Válido,55
55777,2973,Suplente,MAICON CLEYTHON RODRIGUES NOGUEIRA,MAICON NOGUEIRA,M,15/01/1986,Válido,55
55699,576,Suplente,ROSANA CLAUDIA DELFINO ANUNCIAÇÃO FRANCO,ROSANA ANUNCIAÇÃO,F,19/09/1973,Válido,55
55432,235,Suplente,SINZERLÂNDIO DE OLIVEIRA,SINZERLÂNDIO,M,15/02/1956,Válido,55
55700,6202,Eleito,TIAGO HENRIQUE VARGAS,TIAGO VARGAS,M,22/07/1988,Válido,55
55556,137,Suplente,ANDRÉ DANIEL CAMARGO,ANDREZINHO DA COMUNIDADE,M,24/12/1980,Válido,55
55101,1257,Suplente,JEANCARLOS FREITAS DE OLIVEIRA,JEAN POTÊNCIA,M,10/02/1980,Válido,55
55567,104,Suplente,ROMERO BASTOS QUIRINO,ROMERO BASTOS,M,28/12/1964,Válido,55
55251,39,Suplente,MARIA TERESA BARROS LIMA,MARIA TERESA,F,12/11/1961,Válido,55
55196,126,Suplente,JOÃO FOGAÇA DA ROSA,JOÃOZINHO DA MARGARIDA,M,27/07/1956,Válido,55
55200,514,Suplente,ANTONIO DE JESUS CHARUPÁ MÂNCIO,PR CHARUPÁ DO POVO,M,21/02/1968,Válido,55
55999,93,Suplente,ANTONIO CARLOS DOS SANTOS BUENO,ANTONIO BUENO,M,18/07/1971,Válido,55
17001,768,Suplente,JULIANA APARECIDA FLEURY ARANDA,JULIANA ARANDA,F,01/03/1974,Válido,17
17007,705,Suplente,CARLOS SILVA BORGES,CARLOS BORGES,M,22/06/1970,Válido,17
17321,45,Suplente,ISRAEL CORRÊA,ISRAEL CORRÊA,M,21/11/1974,Válido,17
17777,744,Suplente,JULIANA GAIOSO PONTES,JULIANA GAIOSO,F,15/05/1973,Válido,17
17222,562,Suplente,ELIEZER MELO CARVALHO,ELIEZER JACARÉ,M,25/01/1951,Válido,17
17255,101,Suplente,SAMUEL DA SILVA ANASTÁCIO,SAMUEL SAMUKA,M,19/10/1957,Válido,17
17177,81,Suplente,ESTHER RICALDES VITAL COELHO,ESTHER VITAL,F,11/02/1988,Válido,17
17237,381,Suplente,CARLOS OSMAR TRAPP,CARLOS TRAPP,M,06/10/1955,Válido,17
17555,281,Suplente,EVER VIDAL DOS SANTOS,EVER VIDAL,M,05/11/1989,Válido,17
17188,154,Suplente,ANA PAULA FENELON MORAES,ANA PAULA FENELON,F,21/12/1976,Válido,17
17767,34,Suplente,GLAUCO AURÉLIO MORIMATSU DO NASCIMENTO,GLAUCO AURÉLIO,M,29/06/1977,Válido,17
17800,244,Suplente,FERNANDA NASCIMENTO LIMA,FERNANDA LIMA,F,11/08/1975,Válido,17
17111,330,Suplente,AMARILDO CABRAL,DEFENSOR CABRAL,M,02/10/1967,Válido,17
17000,684,Suplente,CIRO NOGUEIRA FIDELIS,CIRO FIDELIS,M,06/02/1983,Válido,17
17888,373,Suplente,EDNILSON MARTINS CARRAPATEIRA,NEIL BRASIL,M,07/09/1969,Válido,17
17123,841,Suplente,LUCAS DOS SANTOS SERAFIM,LUCAS SANTOS,M,07/02/1998,Válido,17
17190,1954,Eleito,ALIRIO VILLASANTI ROMERO,CORONEL ALIRIO VILLASANTI,M,12/09/1966,Válido,17
17040,145,Suplente,RUTE TORRES POQUIVIQUI BONDARCZUK,RUTE POQUIVIQUI,F,12/09/1970,Válido,17
17100,219,Suplente,MAURICIO CELESTINO DE OLIVEIRA,MAURÍCIO CELESTINO,M,23/10/1985,Válido,17
17017,288,Suplente,LUIS GUSTAVO EIFLER FERREIRA,GUSTAVO EIFLER,M,23/05/1990,Válido,17
17020,395,Suplente,FÁBIO LEMES CORREIA,SARGENTO LEMES,M,31/07/1978,Válido,17
17789,164,Suplente,FÉLIX IRLANDO GONÇALVES,FÉLIX IRLANDO,M,20/11/1975,Válido,17
17500,200,Suplente,ISA MARIA MIRANDA RAMÃO FRANÇA,ISA MARIA,F,04/03/1983,Válido,17
17999,281,Suplente,KAREN MANICA AMARAL DUARTE,KAREN MANICA,F,02/03/1973,Válido,17
