numero_partido,votos_legenda,nome_partido,sigla_partido
30,599,Partido Novo,NOVO
55,9458,Partido Social Democrático,PSD
17,1444,Partido Social Liberal,PSL
20,156,Partido Social Cristão,PSC
25,336,Democratas,DEM
23,110,Cidadania,CIDADANIA
15,1461,Movimento Democrático Brasileiro,MDB
70,1253,AVANTE,AVANTE
40,211,Partido Socialista Brasileiro,PSB
14,389,Partido Trabalhista Brasileiro,PTB
50,381,Partido Socialismo e Liberdade,PSOL
43,215,Partido Verde,PV
18,183,Rede Sustentabilidade,REDE
77,430,Solidariedade,SOLIDARIEDADE
10,455,REPUBLICANOS,REPUBLICANOS
19,992,Podemos,PODE
12,1023,Partido Democrático Trabalhista,PDT
11,911,PROGRESSISTAS,PP
65,80,Partido Comunista do Brasil,PC do B
13,3338,Partido dos Trabalhadores,PT
45,793,Partido da Social Democracia Brasileira,PSDB
51,389,Patriota,PATRIOTA
33,103,Partido da Mobilização Nacional,PMN
