numero_partido,votos_legenda,nome_partido,sigla_partido
25,223,Democratas,DEM
23,290,Cidadania,CIDADANIA
15,1583,Movimento Democrático Brasileiro,MDB
17,310,Partido Social Liberal,PSL
30,315,Partido Novo,NOVO
28,33,Partido Renovador Trabalhista Brasileiro,PRTB
55,445,Partido Social Democrático,PSD
20,149,Partido Social Cristão,PSC
90,634,Partido Republicano da Ordem Social,PROS
50,428,Partido Socialismo e Liberdade,PSOL
40,206,Partido Socialista Brasileiro,PSB
14,247,Partido Trabalhista Brasileiro,PTB
12,414,Partido Democrático Trabalhista,PDT
11,428,PROGRESSISTAS,PP
22,193,Partido Liberal,PL
65,39,Partido Comunista do Brasil,PC do B
35,29,Partido da Mulher Brasileira,PMB
36,103,Partido Trabalhista Cristão,PTC
13,877,Partido dos Trabalhadores,PT
43,276,Partido Verde,PV
45,384,Partido da Social Democracia Brasileira,PSDB
29,15,Partido da Causa Operária,PCO
19,1333,Podemos,PODE
18,64,Rede Sustentabilidade,REDE
51,962,Patriota,PATRIOTA
77,233,Solidariedade,SOLIDARIEDADE
10,323,REPUBLICANOS,REPUBLICANOS
