numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27058,145,Suplente,WAGNER ANTONIO LICINIO CAMARGO,WAGNER CAMARGO,M,27/05/1984,Válido,27
27050,249,Suplente,JOSÉ EMILIO PORTO CALDEIRA,EMILIO CALDEIRA,M,10/09/1966,Válido,27
27054,56,Suplente,MARIA TEREZINHA VALIENTE,TERE BRASIL,F,01/12/1954,Válido,27
27055,288,Suplente,EWERSON CRISTHIAN STORI,EWERSON DA SAÚDE,M,11/01/1981,Válido,27
27800,32,Suplente,ANA PAULA DA ROSA,ANA PAULA,F,28/07/1978,Válido,27
27489,142,Suplente,ARIOVALDO HIANCKI STIVANIN,PROFESSOR ARIOVALDO,M,04/12/1973,Válido,27
27511,73,Suplente,NEILDES ARAGÃO DA ROCHA,NEILDES ARAGÃO,F,29/12/1959,Válido,27
27111,936,Suplente,ALEXANDRE DE FREITAS,ALEXANDRE ROLLER,M,27/05/1978,Válido,27
27047,448,Suplente,LOURDES FONSECA GAFFKE,LOURDES FONSECA DA SAÚDE,F,29/09/1954,Válido,27
27900,202,Suplente,EWERTON HYRA ROCHI,YURA,M,09/09/1985,Válido,27
27700,258,Suplente,GERALDO CARDOSO SOBRINHO,PROFESSOR GERALDO ,M,10/07/1957,Válido,27
27500,366,Suplente,CLAUDECI DA SILVA,CLAUDESILVA,M,20/09/1968,Válido,27
27270,454,Suplente,LEANDRO PIERIN BORGES DA SILVEIRA,LEANDRO BORGES DA SILVEIRA,M,08/11/1976,Válido,27
27118,94,Suplente,MARIA DAS GRAÇAS DE JESUS,MARIA DAS GRAÇAS,F,01/08/1967,Válido,27
27190,145,Suplente,AMANTINO PEDRO LARA DOS SANTOS,PEDRÃO DO SABARÁ,M,20/04/1957,Válido,27
27128,586,Suplente,ANTONIO MARCOS MONTALDI,MONTALDI PÉ VERMELHO,M,13/10/1971,Válido,27
27300,415,Suplente,VANIL BARBARINE,SARGENTO BARBARINE,M,13/01/1968,Válido,27
27123,1872,Suplente,ANTONINHO CARLOS CLAUDINO DOS SANTOS,TONINHO DA CIC,M,02/08/1969,Válido,27
