numero_partido,votos_legenda,nome_partido,sigla_partido
27,262,Democracia Cristã,DC
70,744,AVANTE,AVANTE
23,629,Cidadania,CIDADANIA
15,2125,Movimento Democrático Brasileiro,MDB
25,19894,Democratas,DEM
11,960,PROGRESSISTAS,PP
12,5050,Partido Democrático Trabalhista,PDT
65,262,Partido Comunista do Brasil,PC do B
22,2010,Partido Liberal,PL
55,959,Partido Social Democrático,PSD
17,3665,Partido Social Liberal,PSL
90,366,Partido Republicano da Ordem Social,PROS
30,6552,Partido Novo,NOVO
28,189,Partido Renovador Trabalhista Brasileiro,PRTB
20,604,Partido Social Cristão,PSC
33,308,Partido da Mobilização Nacional,PMN
36,360,Partido Trabalhista Cristão,PTC
40,430,Partido Socialista Brasileiro,PSB
14,625,Partido Trabalhista Brasileiro,PTB
43,760,Partido Verde,PV
50,1626,Partido Socialismo e Liberdade,PSOL
45,910,Partido da Social Democracia Brasileira,PSDB
35,435,Partido da Mulher Brasileira,PMB
51,292,Patriota,PATRIOTA
13,5829,Partido dos Trabalhadores,PT
77,471,Solidariedade,SOLIDARIEDADE
10,701,REPUBLICANOS,REPUBLICANOS
19,1525,Podemos,PODE
18,308,Rede Sustentabilidade,REDE
