numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11311,220,Não eleito,BRÍGIDA MARIA SALVI,PROFESSORA BRÍGIDA,F,03/11/1961,Válido,11
11121,162,Não eleito,MARIA HELENA MACHADO,PROFESSORA MARIA HELENA,F,21/09/1952,Válido,11
11333,841,Não eleito,LUIS PAULO SILVEIRA,PAULINHO SILVEIRA,M,02/12/1991,Válido,11
11444,121,Não eleito,MILTON LUIZ SANDER,ALEMÃO MILTON SANDER,M,28/08/1976,Válido,11
11888,609,Não eleito,VICTOR HILBERT AMIN,VICTOR AMIN,M,15/11/1988,Válido,11
11011,323,Não eleito,KARINE FRONER PAWLUSYK,KARINE FRONER,F,13/09/1976,Válido,11
11555,180,Não eleito,PEDRO DE ANDRADE GARCIA NETO,PEDRÃO GARCIA,M,09/02/1960,Válido,11
11200,164,Não eleito,LUIZ CESAR DA SILVA,CESINHA DA TV,M,26/06/1953,Válido,11
11100,323,Não eleito,MANOEL JOÃO BIOLCHI TEIXEIRA,MANOEL TEIXEIRA,M,09/10/1996,Válido,11
11123,1166,Não eleito,RAFAEL FILOMENO DAUX,RAFAEL DAUX,M,03/11/1990,Válido,11
11211,116,Não eleito,RICARDO COSTA,CADO - CARA DE BOLO,M,30/04/1974,Válido,11
11000,389,Não eleito,CLAUDIO LUIZ SEBBEN,CLAUDIO SEBBEN,M,03/12/1954,Anulado sub judice,11
11033,56,Não eleito,VALDELENO PLÁCIDO CORREIA,LENO - VALDELENO,M,25/10/1971,Válido,11
11112,22,Não eleito,CAETANO NOPES HOMRICH,CAETANO NOPES HONRICH,M,15/08/1990,Válido,11
11222,131,Não eleito,MARCOS DA COSTA FERNANDES,MARCOS KIDO,M,29/07/1975,Válido,11
11511,147,Não eleito,FERNANDA NEDEFF CAPORAL,FERNANDA CAPORAL,F,14/12/1979,Válido,11
11133,451,Não eleito,DALTON JOSÉ DOS SANTOS,DALTON SANTOS,M,06/08/1963,Válido,11
11777,223,Não eleito,SIMONE CRISTINA ANDRADE,SIMONE ANDRADE,F,20/06/1972,Válido,11
11611,104,Não eleito,ZANY ESTAEL LEITE,ZANY LEITE,M,20/09/1951,Válido,11
21033,69,Não eleito,MESSIAS SILVA MANARIM,MESSIAS,M,09/01/1987,Válido,21
21000,102,Não eleito,FILIPE BEZERRA DOS SANTOS,FILIPE BEZERRA,M,13/04/1993,Válido,21
21021,79,Não eleito,CAROLINE BELLAGUARDA DE AZEVEDO,CAROL BELLAGUARDA,F,01/06/1985,Válido,21
65650,792,Não eleito,MARIA DE FÁTIMA GOULART CAPELA,FAFÁ CAPELA,F,11/02/1992,Válido,65
65651,6,Não eleito,HENRIQUE TEIXEIRA RAMOS,HENRIQUE RAMOS,M,19/05/1965,Válido,65
65222,37,Não eleito,SÉRGIO JOSÉ GRANDO JUNIOR,SÉRGIO GRANDO JR,M,03/02/1982,Válido,65
65082,28,Não eleito,VANESSA PINHEIRO ESCARRONE,VANESSA PINHEIRO ESCARRONE,F,23/12/1979,Válido,65
65859,23,Não eleito,MARIA HELENA MARQUES RODRIGUES,MARIA HELENA,F,29/08/1959,Válido,65
65369,136,Não eleito,VALDINEI MARQUES,NEICICLAGEM,M,16/10/1978,Válido,65
65777,344,Não eleito,LEONARDO FABIO CONTIN DA COSTA,LEONARDO CONTIN DA COSTA,M,07/01/1986,Válido,65
65051,16,Não eleito,LUÍS MÁRIO FERNANDES GONÇALVES,LUÍS MÁRIO PELÉ,M,31/07/1959,Válido,65
65160,23,Não eleito,JOSÉ OLIVEIRA DE SANTANA,BAIANO DA GELADA,M,10/07/1960,Válido,65
65200,31,Não eleito,LUIZ GONZAGA VIEIRA,GONZAGA,M,08/10/1956,Válido,65
65809,68,Não eleito,MARINEY DA SILVA MATOS,MARY MATOS,F,23/02/1968,Válido,65
65555,32,Não eleito,KARLA PATRICIA MENDES,KARLA PATRICIA,F,06/09/1975,Válido,65
65278,70,Não eleito,KAIONARA APARECIDA DOS SANTOS,KAIONARA DOS SANTOS,F,03/11/1976,Válido,65
