numero_partido,votos_legenda,nome_partido,sigla_partido
11,731,PROGRESSISTAS,PP
21,68,Partido Comunista Brasileiro,PCB
65,60,Partido Comunista do Brasil,PC do B
12,311,Partido Democrático Trabalhista,PDT
13,547,Partido dos Trabalhadores,PT
45,252,Partido da Social Democracia Brasileira,PSDB
51,132,Patriota,PATRIOTA
43,42,Partido Verde,PV
50,1525,Partido Socialismo e Liberdade,PSOL
40,76,Partido Socialista Brasileiro,PSB
16,53,Partido Socialista dos Trabalhadores Unificado,PSTU
17,191,Partido Social Liberal,PSL
30,1126,Partido Novo,NOVO
28,286,Partido Renovador Trabalhista Brasileiro,PRTB
20,268,Partido Social Cristão,PSC
22,845,Partido Liberal,PL
55,206,Partido Social Democrático,PSD
23,194,Cidadania,CIDADANIA
25,3250,Democratas,DEM
15,286,Movimento Democrático Brasileiro,MDB
70,15,AVANTE,AVANTE
19,201,Podemos,PODE
77,101,Solidariedade,SOLIDARIEDADE
80,13,Unidade Popular,UP
10,236,REPUBLICANOS,REPUBLICANOS
