numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
14614,33,Não eleito,ROSANGELA REBOUÇAS GONDIM,ROSANGELA REBOUÇAS,F,17/09/1965,Válido,14
14235,679,Não eleito,FRANCISCO GAMA CORREA,GAMA CORREA,M,03/02/1953,Válido,14
14145,136,Não eleito,ANTONIO DEHON SOUZA DOS SANTOS,GATINHO DO POSTO,M,29/04/1964,Válido,14
14000,943,Não eleito,FRANCISCO JUNIOR CORDEIRO DE OLIVEIRA,JR CORDEIRO,M,08/10/1969,Válido,14
14508,273,Não eleito,CARLOS HENRIQUE DOTE,MOTORISTA DOTE,M,03/02/1970,Válido,14
14666,439,Não eleito,ARISTEU PEREIRA MONTEIRO,O COROA,M,03/09/1967,Válido,14
14380,46,Não eleito,GABRIEL LEANDRO CABRAL DE OLIVEIRA,GABRIEL LEANDRO,M,01/04/1987,Válido,14
14123,2045,Não eleito,PAULO DE TARSO FACO BEZERRA,PAULO FACO,M,28/03/1954,Válido,14
14020,323,Não eleito,MARIA CONCEICAO DE SOUZA OLIVEIRA,CONCEICAO DA PRESCEL,F,29/06/1950,Válido,14
14190,2568,Não eleito,AUDIZIO OLIVEIRA SILVA,AUDIZIO OLIVEIRA,M,31/05/1964,Válido,14
14456,1610,Não eleito,LUIS ATILA DE HOLANDA BEZERRA,ATILA BEZERRA,M,21/02/1951,Válido,14
14646,117,Não eleito,VALMIR VIEIRA DA SILVA,VALMIR VIEIRA,M,15/10/1975,Válido,14
14005,55,Não eleito,ALEXANDRA SILVA SOUZA TRIGUEIRO,LEKA TRIGUEIRO,F,24/08/1973,Válido,14
14295,62,Não eleito,PAULO SERGIO JORGE DA SILVA,PAPION DO MONTESE,M,10/05/1969,Válido,14
14444,2016,Não eleito,PAULO VENICIO MOREIRA DE PINHO,PAULO PINHO,M,07/05/1958,Válido,14
14266,101,Não eleito,ROZANE DIAS DE SENA,ROZANE DIAS,F,26/01/1992,Válido,14
14569,65,Não eleito,FATIMA MARIA DO NASCIMENTO SILVA,LORA DA LAN,F,21/05/1976,Válido,14
14445,15,Não eleito,IARA FERNANDES BAYMA,IARA BAYMA,F,15/04/1968,Válido,14
14112,215,Não eleito,GLESTONE MOREIRA MARTINS,DR GLESTONE MARTINS,M,19/07/1976,Válido,14
14700,144,Não eleito,JANEDSON BRAGA DA SILVA,BUIU,M,28/05/1976,Válido,14
14222,1231,Não eleito,ROBERT BURNS MOREIRA DE OLIVEIRA,ROBERT,M,10/05/1962,Válido,14
14333,224,Não eleito,FERNANDA MATOS DOS SANTOS,FERNANDA MATOS,F,03/06/1960,Válido,14
14017,234,Não eleito,ARTUR CORREIA LIMA NETO,PALHAÇO TUTU,M,27/09/1968,Válido,14
14789,1691,Não eleito,FRANCISCO EDMAR FREITAS,EDMAR FREITAS,M,03/04/1954,Válido,14
14654,1,Não eleito,EDINA NOGUEIRA DE CASTRO ROCHA,EDNA NOGUEIRA,F,26/04/1962,Válido,14
14133,88,Não eleito,RAIMUNDA ROSELI RABELO SILVA,ROSE RABELO,F,04/06/1971,Válido,14
