numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25190,131,Suplente,JOSÉ INÁCIO FARIAS DE ABREU,JOSÉ FARIAS,M,15/10/1980,Válido,25
25010,2960,Suplente,PAULO PEREIRA MAGALHÃES,PAULO MAGALHÃES,M,01/02/1947,Válido,25
25025,527,Suplente,EDUARDO COSTA BORGES,EDUARDO BORGES,M,10/05/1980,Válido,25
25000,1605,Suplente,DESIRÉE PEÑALBA MACHADO,DESIRÉE,F,22/12/1987,Válido,25
25880,19,Suplente,FLAVIA PATRICIA SANTOS,FLAVIA PATRICIA,F,06/02/1980,Válido,25
25444,86,Suplente,DEBORA ALVES QUEIROZ TEIXEIRA,DEBORA QUEIROZ,F,12/05/1982,Válido,25
25555,825,Suplente,GOIRAN SEGURADO BESSA,GOIRAN,M,16/05/1966,Válido,25
25789,89,Suplente,CICERO FRANCINETE SILVA,CICERO FRANCINETE ,M,02/05/1958,Válido,25
25900,2237,Suplente,JAIR ALVES DE SOUZA,JAIR DIAMANTINO,M,02/11/1967,Válido,25
25500,369,Suplente,MARIANE MONALISA APARECIDA COSTA CARNEIRO,MONALISA,F,02/05/1991,Válido,25
25123,602,Suplente,FRANCISCO OLIVEIRA ZICA,CHICO ZICA,M,13/04/1959,Válido,25
25111,39,Suplente,GILBERTO PATRÍCIO DA SILVA,GILBERTO PATRÍCIO,M,21/11/1944,Válido,25
25800,1477,Suplente,JULIANA MARCOS BRAGA,JULIANA BRAGA DO KARATÊ,F,12/12/1970,Válido,25
25333,27,Suplente,JOSE FAGUNDES BARBOSA,"JOSÉ FAGUNDES ""CATRAQUINHA""",M,01/06/1966,Válido,25
25700,2835,Suplente,SEBASTIÃO PEIXOTO MOURA,PEIXOTO,M,20/01/1945,Válido,25
25678,89,Suplente,FLAVIA RENATA SERRA DOURADO,FLAVIA DOURADO,F,01/07/1980,Válido,25
25300,197,Suplente,FRANCIS JOSE RODRIGUES MAIA,BISPO FRANCIS MAIA,M,19/03/1981,Válido,25
25160,288,Suplente,WILSON WONNÊ PEREIRA CAVALCANTE,DELEGADO WILSON CAVALCANTE,M,08/12/1960,Válido,25
25888,436,Suplente,NERIVALDO ELISIO VIEIRA JUNIOR,NERIVALDO JÚNIOR,M,17/10/1983,Válido,25
25154,269,Suplente,ALEXANDRE LUIZ BELCHIOR,ALEXANDRE BELCHIOR,M,09/03/1975,Válido,25
25321,45,Suplente,JOSÉ ROBERTO ALVES DE OLIVEIRA,ZEREGUIDÊ,M,06/03/1976,Válido,25
