numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
28100,1555,Suplente,PAMELA RACHEL DOS SANTOS MEDEIROS,PAMELA MEDEIROS,F,06/03/1992,Válido,28
28880,302,Suplente,JOSENILDO LIRA PINTO,PYTA LIRA,M,31/12/1970,Válido,28
28010,2229,Suplente,ALEXANDRE AUGUSTO RAMALHO ARARUNA,DR. ALEXANDRE ARARUNA,M,20/03/1975,Válido,28
28021,28,Suplente,ANNY MICHELLY FEIIJÓ VIEIRA CORREIA,MICHELLY FEIJÓ,F,21/01/1981,Válido,28
28345,121,Suplente,NEWTON JORGE DE ALBUQUERQUE,NEWTON JORGE ,M,16/11/1963,Válido,28
28050,3,Suplente,ANDRÉIA MARIA ARAÚJO GALDINO,ANDRÉIA ARAÚJO,F,28/12/1972,Válido,28
28300,100,Suplente,LUVIO GALENO DA FRANCA CABRAL,LUVIO GALENO,M,26/11/1976,Válido,28
28444,284,Suplente,WALMIR RAMOS DOS ANJOS,WALMIR RAMOS,M,11/05/1975,Válido,28
28222,2288,Suplente,JOÃO EDUARDO MORAES DE MELO,JOÃO EDUARDO,M,22/10/1967,Válido,28
28020,43,Suplente,JOÃO NEPOMUCENO DA NÓBREGA,JOÃO DO POVÃO,M,21/12/1968,Válido,28
28000,346,Suplente,ELYCARLOS GOMES DE AGUIAR,ELYCARLOS AGUIAR,M,07/09/1978,Válido,28
28018,95,Suplente,GILVÂNIA GRACIELE DA SILVA,GILVÂNIA GRACIELE,F,18/01/1981,Válido,28
28200,18,Suplente,MARIA CRISTINA LACET FERREIRA,CRISTINA LACET,F,31/10/1972,Válido,28
28888,1277,Suplente,MARCELO ESEQUIEL CANTALICE,PROFESSOR MARCELO CANTALICE,M,10/05/1973,Válido,28
28288,164,Suplente,JOSÉ LEONARDO DA SILVA CUNHA,LEONARDO SILVA,M,29/03/1979,Válido,28
28070,261,Suplente,FRANCINALDO NASCIMENTO DA SILVA,FRANCINALDO COMUNIDADE,M,08/09/1980,Válido,28
28456,379,Suplente,JOSEMAR RODRIGUES DE FREITAS,COELHO RELOJOEIRO,M,18/05/1971,Válido,28
28030,32,Suplente,FÁBIO BARBOSA DA SILVA,FÁBIO BARBOSA,M,13/04/1973,Válido,28
28999,47,Suplente,REGINALDO RICARDO DA SILVA,REGINALDO RICARDO,M,09/10/1979,Válido,28
28001,384,Suplente,JOSÉ LEANDRO DOS SANTOS SILVA,JOSÉ LEANDRO,M,17/02/1984,Válido,28
28700,39,Suplente,GIVANILSON ROBERTO DA SILVA,GIL ROBERTO,M,09/09/1977,Válido,28
28500,2,Suplente,RITA DE CÁSSIA SANTOS BELMONT NERI,RITA DA SAÚDE,F,08/10/1976,Válido,28
28123,3864,Eleito,THIAGO NÓBREGA DE LUCENA,THIAGO LUCENA,M,23/03/1984,Válido,28
28666,8,Suplente,ANA CÉLIA MARTINS DE OLIVEIRA,ANINHA MARTINS,F,10/05/1983,Válido,28
28789,1069,Suplente,VALMIR JOSÉ DA SILVA,IRMÃO VALMIR,M,12/03/1984,Válido,28
28321,260,Suplente,MOISÉS MENEZES GEHO,MOISÉS GEHO,M,20/07/1974,Válido,28
28777,250,Suplente,JOACIL FREIRE DA SILVA JÚNIOR,JOACIL FREIRE JR,M,02/03/1990,Válido,28
28234,111,Suplente,CLEIDSON MAMEDE DA SILVA,CLEIDSON CHINA,M,16/06/1976,Válido,28
28038,132,Suplente,EDUARDO ARAÚJO SERAFIM GALDINO,EDUARDO GALDINO,M,12/11/1998,Válido,28
28028,171,Suplente,ANNA CAROLINA BRITO PEREIRA,CAROL BRITO,F,11/10/1982,Válido,28
28193,583,Suplente,ANTONIO LINS VILAR,SARGENTO VILAR,M,16/06/1965,Válido,28
28190,143,Suplente,GILVAN ALBUQUERQUE GOMES CAVALCANTI,GILVAN ALBUQUERQUE,M,08/06/1980,Válido,28
12301,473,Suplente,ROGERIO LEONARDO DOS SANTOS,ROGÉRIO GÁS,M,05/08/1981,Válido,12
12512,1237,Suplente,HOMERO DA SILVA SÁTIRO,HOMERO SÁTIRO,M,12/02/1967,Válido,12
12111,1332,Suplente,EURIPEDES LEAL DE OLIVEIRA,EURÍPEDES LEAL,M,03/07/1975,Válido,12
12888,399,Não eleito,JOÃO BATISTA SANTOS DA CUNHA,JOÃO CUNHA,M,23/06/1958,Anulado sub judice,12
12777,93,Suplente,MARIA DE FÁTIMA ANDRADE DE LIMA,JORNALISTA FÁTIMA ANDRADE,F,29/05/1955,Válido,12
12864,18,Suplente,DANIELLE RICARTE NOGUEIRA,DANIELLE RICARTE,F,03/12/1986,Válido,12
12123,2233,Eleito,JUNIO LEANDRO AZEVEDO DE MACEDO,JUNIO LEANDRO AGENTE DE SAÚDE,M,13/10/1982,Válido,12
12200,206,Suplente,JOSÉ BRUNO DE MOURO SANTOS,BRUNO ARTE E CULTURA,M,20/03/1990,Válido,12
12999,203,Suplente,EVERALDO DE ANDRADE SILVA,EVERALDO ANDRADE,M,21/01/1973,Válido,12
12644,82,Suplente,FRANCISCO BARBOSA ROCHA,BARBOSA DA PRESTAÇÃO,M,25/04/1956,Válido,12
12300,1009,Suplente,MANOEL SILVA DE ANDRADE,NILDO ANDRADE,M,15/11/1958,Válido,12
12012,170,Suplente,IGOR JUAREZ DE PONTES,IGOR CASABLANCAS,M,05/11/1990,Válido,12
12377,49,Suplente,GILVANDRO SOARES DA SILVA,GILVANDRO SILVA,M,15/07/1979,Válido,12
12369,55,Suplente,JOÃO DA PENHA DO NASCIMENTO,JOÃO DA PENHA,M,19/06/1958,Válido,12
12030,77,Suplente,MARIA EDUARDA PEREIRA DO NASCIMENTO SANTOS,EDUARDA NASCIMENTO,F,03/02/1989,Válido,12
12112,318,Suplente,MARCO ANTONIO SUASSUNA LIMA,MARCO SUASSUNA,M,01/08/1972,Válido,12
12345,670,Suplente,JANDILSON DE LIMA ARANTES,TANINHA,M,21/11/1978,Válido,12
12444,77,Suplente,MARCILANE DE BARROS GOMES,LANNE GOMES,F,20/11/1974,Válido,12
12500,1039,Suplente,FELIPE TELES COSMO,FELIPE TELES COSMO,M,25/09/1988,Válido,12
12789,507,Suplente,JOSE ERIVAN DE ALMEIDA JUNIOR,JÚNIOR PARDAL,M,05/05/1991,Válido,12
12890,114,Suplente,EDGLEY FERREIRA TORRES CUNHA,EDGLEY TORRES,M,08/06/1968,Válido,12
12000,317,Suplente,YARA DE AZEVEDO SANTOS BRITTO,PROFESSORA YARA,F,13/12/1967,Válido,12
12312,664,Suplente,ANTONIO DO NASCIMENTO ALVES,NASCIMENTO,M,10/01/1975,Válido,12
12456,907,Suplente,GILDEMAR DA ROCHA MACEDO,DEMA MACEDO,M,03/03/1969,Válido,12
