numero_partido,votos_legenda,nome_partido,sigla_partido
28,139,Partido Renovador Trabalhista Brasileiro,PRTB
12,628,Partido Democrático Trabalhista,PDT
22,230,Partido Liberal,PL
65,69,Partido Comunista do Brasil,PC do B
50,393,Partido Socialismo e Liberdade,PSOL
20,107,Partido Social Cristão,PSC
17,280,Partido Social Liberal,PSL
90,174,Partido Republicano da Ordem Social,PROS
23,407,Cidadania,CIDADANIA
70,361,AVANTE,AVANTE
25,451,Democratas,DEM
11,2957,PROGRESSISTAS,PP
15,3887,Movimento Democrático Brasileiro,MDB
14,137,Partido Trabalhista Brasileiro,PTB
43,1646,Partido Verde,PV
45,2324,Partido da Social Democracia Brasileira,PSDB
33,112,Partido da Mobilização Nacional,PMN
16,42,Partido Socialista dos Trabalhadores Unificado,PSTU
35,207,Partido da Mulher Brasileira,PMB
40,1358,Partido Socialista Brasileiro,PSB
13,841,Partido dos Trabalhadores,PT
51,1387,Patriota,PATRIOTA
18,88,Rede Sustentabilidade,REDE
77,381,Solidariedade,SOLIDARIEDADE
10,341,REPUBLICANOS,REPUBLICANOS
80,64,Unidade Popular,UP
