numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25007,162,Suplente,LEANDRO RODRIGUES DA SILVA,LÉO RODRIGUES,M,20/11/1984,Válido,25
25012,146,Suplente,WILLIAN SILVA DOS SANTOS,MARROM BOMBOM,M,12/12/1977,Válido,25
25567,254,Suplente,FLAVIANO DE MELO GOMES,FLAVIANO MELO,M,17/02/1968,Válido,25
25444,25,Suplente,MARÍLIA RODRIGUES DA SILVA,MARÍLIA,F,29/04/1994,Válido,25
25333,172,Suplente,FERNANDA MARIA DA SILVA MIGUEL,FERNANDA MIGUEL,F,24/07/1995,Válido,25
25999,484,Suplente,MÁRIO JORGE PONTES DE OLIVEIRA,MÁRIO MORAL,M,20/09/1972,Válido,25
25231,29,Suplente,SOLANGE DIAS DA SILVA,SOLANGE DIAS,F,24/09/1965,Válido,25
25777,359,Suplente,HELIANA LEIMBECK NOGUEIRA,HELIANA NOGUEIRA,F,25/08/1971,Válido,25
25789,121,Suplente,CARLOS SERGIO DE MEDEIROS MOURA,SÉRGIO MOURA,M,07/09/1971,Válido,25
25321,1781,Suplente,SILAS DE OLIVEIRA SANTOS,SILAS SANTOS,M,08/10/1986,Válido,25
25145,35,Suplente,JIVANILDA SOARES DE SOUZA,JIL SOARES,F,24/02/1988,Válido,25
25123,7549,Eleito,MARIA GABRIELLA MARTINS COELHO DA PAZ,GABY RONALSA,F,18/05/1985,Válido,25
25222,361,Suplente,EDVALDO DE LIMA FERREIRA,EDVALDO LIMA,M,25/04/1960,Válido,25
25082,130,Suplente,ANTÔNIO VESPA DA SILVA,VESPA DE MACEIÓ,M,06/09/1965,Válido,25
25055,42,Suplente,EDUARDO JOSÉ COSTA NEVES JÚNIOR,EDUARDO PAI DAS MARIAS,M,03/06/1981,Válido,25
25001,116,Suplente,CHARLES DOUGLAS DE OLIVEIRA CORREIA,CHARLES DOUGLAS,M,28/12/1990,Válido,25
25111,61,Suplente,MONIQUE KARINE BARROS DA SILVA,MONIQUE BARROS,F,21/12/1995,Válido,25
25002,37,Suplente,MARIA DO SOCORRO GOMES DE ASSIS,SOCORRO,F,21/02/1960,Válido,25
25010,114,Suplente,MARCELO RÉGIS CANTOÁRIO COSTA,MARCELO CANTOÁRIO,M,22/12/1979,Válido,25
25678,593,Suplente,RONALDO PATRIOTA COTA,RONALDO PATRIOTA,M,29/08/1954,Válido,25
25888,543,Suplente,THIAGO RODRIGO DOS SANTOS CHAVES,THIAGO CHAVES,M,04/05/1981,Válido,25
25800,199,Suplente,SÉRGIO DA SILVA VELOSO,UREIA LÁ,M,23/03/1976,Válido,25
25000,569,Suplente,LUIZ CARLOS DE OLIVEIRA SANTANA,LUIZ CARLOS SANTANA,M,03/01/1958,Válido,25
25855,70,Suplente,MIGUEL FERREIRA DA SILVA,MIGUEL DO POVO,M,13/03/1966,Válido,25
25011,93,Suplente,PEDRO PAULO BARBOSA DOS SANTOS,PEDRO PAULO,M,10/10/1961,Válido,25
25025,577,Suplente,JOSÉ GOMES DE FREITAS,ZECA ÍNDIO,M,04/01/1957,Válido,25
25555,3776,Suplente,SIMONE CACILDA COSTA DE ANDRADE,SIMONE ANDRADE,F,16/07/1966,Válido,25
23456,72,Não eleito,MANOEL MESSIAS AQUINO,MESSIAS AQUINO,M,21/03/1981,Válido,23
23444,289,Não eleito,ALISSON ROBERT DA SILVA MATIAS,ALISSON ROBERT,M,20/03/1979,Válido,23
23333,129,Não eleito,JESIMIEL FERREIRA DA SILVA,JESY,M,25/09/1962,Válido,23
23123,188,Não eleito,HÉLIA THYANA MELO DA SILVA RODRIGUES,HÉLIA RODRIGUES,F,05/03/1998,Válido,23
23222,186,Não eleito,WEVERTON MARQUES DE ALBUQUERQUE,WEVERTON ALBUQUERQUE,M,25/08/1993,Válido,23
23000,198,Não eleito,FÁTIMA CRISTINA DA RESSURREIÇÃO ROMAR,FÁTIMA ROMAR,F,13/05/1966,Válido,23
27777,397,Não eleito,ERONILDES MARTINS DOS SANTOS,ERON MARTINS,M,30/10/1965,Válido,27
70000,132,Não eleito,JOSE CLAUDIO VITAL CUSTODIO,CLAUDIO VITAL,M,25/12/1976,Válido,70
15007,23,Suplente,LUIZ GUSTAVO SANTOS SILVA,LUIZ GUSTAVO,M,25/02/1978,Válido,15
15234,22,Suplente,ANA CLEIDE PINTO FERREIRA,ANA CLEIDE,F,10/07/1970,Válido,15
15679,93,Suplente,FLAVIA ROBERTA DA SILVA VASCONCELOS,BETA VASCONCELOS,F,16/08/1971,Válido,15
15555,2599,Suplente,NERIGLEYKSON PAIVA DE MELO,NERY ALMEIDA,M,29/07/1975,Válido,15
15100,4562,Eleito,OLIVIA COIMBRA CERQUEIRA TENÓRIO,OLÍVIA TENÓRIO,F,03/06/1992,Válido,15
15789,335,Suplente,WALNERYS CRISTINA ROCHA DA SILVA,CRISTINA ROCHA,F,21/06/1974,Válido,15
15699,2474,Suplente,GIVALDO DE SÁ GOUVEIA CARIMBÃO,GIVALDO CARIMBÃO,M,14/10/1957,Válido,15
15321,1276,Suplente,MARCELA BARBOSA PINTO DOS SANTOS,MARCELA BARBOSA,F,05/05/1982,Válido,15
15999,402,Suplente,ROSIVALDO SILVA ALMEIDA,ROSIVALDO ALMEIDA,M,16/08/1975,Válido,15
15987,40,Suplente,JOSÉ BILU DA SILVA FILHO,BILU,M,04/10/1954,Válido,15
15111,7606,Eleito,FRANCISCO HOLANDA COSTA FILHO,CHICO FILHO,M,17/05/1980,Válido,15
15666,3833,Suplente,CARLOS IB FALCÃO BREDA,IB BREDA,M,11/08/1966,Válido,15
15678,4150,Suplente,MARIA PETRUCIA DIAS CAMELO,PETRUCIA CAMELO,F,08/02/1946,Válido,15
15550,78,Suplente,MARLI JESUINO DA SILVA,JESUINO,F,05/01/1971,Válido,15
15179,22,Suplente,POLIANA LIMA DE OLIVEIRA,POLIANA LIMA,F,14/10/1986,Válido,15
15333,8712,Eleito,LUCIANO MARINHO DA SILVA,LUCIANO MARINHO,M,17/11/1974,Válido,15
15005,347,Suplente,DIOGO AUGUSTO CORREIA,DIOGO CORREIA,M,30/07/1987,Válido,15
15015,67,Suplente,GUILHERME LEONCIO SOARES FONTAN,GUILHERME SOARES FILHO,M,27/03/1984,Válido,15
15123,6111,Eleito,GALBA NOVAIS DE CASTRO NETTO,GALBA NOVAES,M,14/11/1984,Válido,15
15000,6343,Eleito,FERNANDO ANTÔNIO MACEDO HOLANDA,FERNANDO HOLLANDA,M,04/08/1980,Válido,15
15147,3551,Suplente,RONALDO LUZ,RONALDO LUZ,M,16/01/1952,Válido,15
15004,222,Suplente,MARCIO TADEU MONTENEGRO CALHEIROS,MARCIO CALHEIROS,M,04/04/1978,Válido,15
15777,406,Suplente,GIVALDO SANTOS VASCONCELOS,JACOZINHO,M,02/02/1956,Válido,15
15444,2998,Suplente,ANA MARIA PEREIRA HORA,ANA HORA,F,27/09/1966,Válido,15
