numero_partido,votos_legenda,nome_partido,sigla_partido
25,311,Democratas,DEM
23,158,Cidadania,CIDADANIA
27,742,Democracia Cristã,DC
70,59,AVANTE,AVANTE
15,5319,Movimento Democrático Brasileiro,MDB
11,5381,PROGRESSISTAS,PP
12,609,Partido Democrático Trabalhista,PDT
28,242,Partido Renovador Trabalhista Brasileiro,PRTB
21,109,Partido Comunista Brasileiro,PCB
65,164,Partido Comunista do Brasil,PC do B
90,118,Partido Republicano da Ordem Social,PROS
55,391,Partido Social Democrático,PSD
20,404,Partido Social Cristão,PSC
50,485,Partido Socialismo e Liberdade,PSOL
17,233,Partido Social Liberal,PSL
40,3551,Partido Socialista Brasileiro,PSB
16,96,Partido Socialista dos Trabalhadores Unificado,PSTU
14,197,Partido Trabalhista Brasileiro,PTB
45,299,Partido da Social Democracia Brasileira,PSDB
36,180,Partido Trabalhista Cristão,PTC
43,51,Partido Verde,PV
33,160,Partido da Mobilização Nacional,PMN
13,1062,Partido dos Trabalhadores,PT
19,459,Podemos,PODE
10,285,REPUBLICANOS,REPUBLICANOS
51,687,Patriota,PATRIOTA
80,133,Unidade Popular,UP
18,103,Rede Sustentabilidade,REDE
