numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11000,6736,,THAYSA LIPPY SILVA DE SOUZA,THAYSA LIPPY,F,21/09/1992,Válido,11
11112,261,,GABRIEL OLIVEIRA DE MELO,GABRIEL MELO,M,06/02/1999,Válido,11
11002,453,,BRUNO DOS SANTOS JARDIM,BRUNO DO GÁS,M,27/10/1990,Válido,11
11122,270,,SIDNEY DE ALMEIDA BARROS,SIDNEY BARROS,M,10/06/1983,Válido,11
11445,198,,MARCUS LUCIEN ARAUJO DE ALMEIDA,MARCUS LUCIEN,M,20/01/1987,Válido,11
11101,132,,NILSON ERNANI RIBEIRO DOS SANTOS,SOLDADO DO GASODUTO,M,22/07/1970,Válido,11
11145,353,,KENO GLEISON MORAES DA COSTA,KENO GLEISON,M,04/01/1977,Válido,11
11111,2253,,MARISSON ROGER DA SILVA ASSUNÇÃO,MARISSON ROGER,M,01/08/1983,Válido,11
11003,95,,WASHINGTON JOSE SOARES DE ALBUQUERQUE,WASHINGTON  ALBUQUERQUE,M,14/10/1969,Válido,11
11558,8,,EVELLYN CAROLLYNE PIMENTEL DE ARAUJO,EVELLYN ARAUJO,F,06/12/1993,Válido,11
11717,107,,SHEILA DE LIMA LIRA,SHEILA LIMA,F,07/12/1959,Válido,11
11888,122,,EUFRAIM MORAES APARICIO,EUFRAIM DOS AGP'S,M,13/02/1990,Válido,11
11004,92,,WAGNER DA SILVA DAMASCENO,WAGNER DAMASCENO,M,10/09/1978,Válido,11
11333,248,,ERIKE BRANDÃO NOGUEIRA,PROFESSOR ERIKE BRANDÃO,M,15/11/1984,Válido,11
11007,460,,ANGELO SANTANA DA COSTA,ANGELO COSTA,M,17/06/1982,Válido,11
11008,4,,SUSIANE DE OLIVEIRA COSTA BAIA,SUSIANE DE OLIVEIRA,F,01/02/1985,Válido,11
11478,87,,THAYARA PAZ DE MELO,THAYARA PAZ,F,30/04/1994,Válido,11
11009,240,,MARNILSON ARAUJO DE SOUZA,MARNILSON SOUZA,M,10/05/1974,Válido,11
11211,8,,GENIVAL OLIVEIRA DE SOUZA,GENIVAL SOUZA,M,27/06/1975,Válido,11
11110,1,,ROBELITA DE OLIVEIRA COSTA,ROBELITA COSTA,F,18/03/1958,Válido,11
11100,526,,MARIO OLIVEIRA ROBUSTELLI,MARIO ROBUSTELLI,M,06/02/1969,Válido,11
11070,89,,MAGDIEL RABELO MENDES,PROFESSOR MAGDIEL MENDES,M,28/06/1961,Válido,11
11155,262,,DEYWIT FURTADO MOTA,BIOMÉDICO DR DEYWIT FREEDOM,M,03/09/1987,Válido,11
11001,363,,HELIO VEIGA LIMA,TIO HÉLIO,M,01/06/1957,Válido,11
11144,117,,KAREN JULIENY REIS CORRÊA,KAREN REIS,F,22/12/1997,Válido,11
11010,11,,ANA PAULA REIS DE OLIVEIRA,ANA PAULA,F,27/07/1981,Válido,11
11671,297,,EVERALDO REIS DA COSTA,EVERALDO REIS,M,02/01/1972,Válido,11
11125,52,,SUELLEN LEITE DA SILVA CEZAR,SUELLEN LEITE,F,30/10/1991,Válido,11
11345,379,,JOSE MARIA ALVES DE SOUZA,ZE MARIA SOUZA,M,03/04/1963,Válido,11
11654,1,,MARIA RAIMUNDA DOS SANTOS MORAES,DONA RAI DO MULTIRÃO,F,24/12/1967,Válido,11
11114,53,,LEONARDO RODRIGUES DE SOUZA,LEONARDO RODRIGUES,M,30/12/1976,Válido,11
