numero_partido,votos_legenda,nome_partido,sigla_partido
11,591,PROGRESSISTAS,PP
15,636,Movimento Democrático Brasileiro,MDB
65,275,Partido Comunista do Brasil,PC do B
22,2072,Partido Liberal,PL
30,1088,Partido Novo,NOVO
28,343,Partido Renovador Trabalhista Brasileiro,PRTB
90,388,Partido Republicano da Ordem Social,PROS
12,872,Partido Democrático Trabalhista,PDT
23,586,Cidadania,CIDADANIA
25,504,Democratas,DEM
27,559,Democracia Cristã,DC
70,6821,AVANTE,AVANTE
20,1027,Partido Social Cristão,PSC
17,509,Partido Social Liberal,PSL
40,562,Partido Socialista Brasileiro,PSB
55,3918,Partido Social Democrático,PSD
50,433,Partido Socialismo e Liberdade,PSOL
35,165,Partido da Mulher Brasileira,PMB
36,332,Partido Trabalhista Cristão,PTC
45,794,Partido da Social Democracia Brasileira,PSDB
43,330,Partido Verde,PV
16,202,Partido Socialista dos Trabalhadores Unificado,PSTU
14,557,Partido Trabalhista Brasileiro,PTB
33,605,Partido da Mobilização Nacional,PMN
51,2924,Patriota,PATRIOTA
13,5479,Partido dos Trabalhadores,PT
10,2062,REPUBLICANOS,REPUBLICANOS
19,10187,Podemos,PODE
18,130,Rede Sustentabilidade,REDE
77,258,Solidariedade,SOLIDARIEDADE
