numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
18018,114,Não eleito,JOSE PETRONILO DA SILVA JUNIOR,PETRONILO,M,16/06/1980,Válido,18
18100,0,Não eleito,CRISTINA GOMES DE AGUIAR,CRISTINA GOMES,F,10/07/1971,Anulado,18
18000,48,Não eleito,FRANCISCO RAIMUNDO DE FREITAS,FREITAS JÚNIOR,M,27/10/1987,Válido,18
77211,401,Suplente,ALEXANDRE FEITOSA DA SILVA,BAMBAM,M,04/12/1976,Válido,77
77190,1286,Suplente,ELIABE MARQUES DA SILVA,SUBTENENTE ELIABE,M,26/12/1970,Válido,77
77987,72,Suplente,RUTH ADELINA PEREIRA NUNES,RUTH ADELINA,F,24/12/1995,Válido,77
77654,216,Suplente,ADALBERTO QUIRINO DO NASCIMENTO,ADALBERTO CADEIRANTE,M,03/09/1987,Válido,77
77789,1393,Suplente,ERISVALDO FREIRE,CIDADÃO FREIRE,M,23/08/1981,Válido,77
77001,26,Suplente,ANNA CLAUDIA ALVES FREIRE DE MEDEIROS,ANNA CLAUDIA,F,20/05/1981,Válido,77
77200,1619,Suplente,ARTHUR FELIPE LIMA DUTRA DE ALMEIDA,ARTHUR DUTRA,M,01/12/1982,Válido,77
77310,231,Suplente,PAULO LUIZ DE LIMA NERIS,PAULO NERIS,M,01/07/1966,Válido,77
77456,1981,Suplente,RAIMUNDO JORGE DE TORRES,RAIMUNDO JORGE,M,14/08/1950,Válido,77
77222,768,Suplente,LAILSON PAULA DO NASCIMENTO,LAILSON DAS TAPIOCAS,M,20/10/1978,Válido,77
77007,38,Suplente,MAURICIO DE FIGUEIREDO FORMIGA JUNIOR,MAURICIO FORMIGA,M,30/08/1981,Válido,77
77337,74,Suplente,INGRID TRAJANO BARBOSA,INGRID TRAJANO,F,04/05/1997,Válido,77
77077,36,Suplente,VALESKA ALBUQUERQUE LIMA DA SILVA VALDIVINO,VALL PEDAGOGA,F,28/06/1971,Válido,77
77888,1839,Suplente,FULVIO SAULO MAFALDO DE SOUSA,FULVIO,M,17/03/1971,Válido,77
77100,634,Suplente,PAULO GABRIEL NEGREIROS DE ALMEIDA,GABRIEL NEGREIROS,M,29/03/1994,Válido,77
77127,339,Suplente,JOBSON KLEBEN PINHEIRO MOREIRA,JOBSON KLEBEN,M,07/05/1988,Válido,77
77111,12,Suplente,NADIEJINA MARINALDA DOS SANTOS,NADIEJINA,F,31/07/1993,Válido,77
77889,795,Suplente,RUBENS DE MEDEIROS XAVIER AMANCIO,PASTOR RUBENS,M,20/11/1975,Válido,77
77555,2797,Eleito,KLAUS ASSIS DOS ANJOS ARAUJO,KLAUS,M,31/01/1978,Válido,77
77021,51,Suplente,JOSE ALEXANDRE ALVES,ALEXANDRE DOS PATINS,M,19/02/1968,Válido,77
77890,2225,Eleito,ANDERSON LOPES DA SILVA,ANDERSON LOPES,M,30/11/1984,Válido,77
77400,914,Suplente,MARIA MAGNÓLIA SOUSA FIGUEIREDO,MAGNÓLIA FIGUEIREDO,F,11/11/1963,Válido,77
77300,648,Suplente,EVERTON SILVA SANTOS,EVERTON SANTOS,M,04/05/1992,Válido,77
77653,751,Suplente,BRUNO GOMES DE SOUZA,BRUNO GOMES,M,19/04/1987,Válido,77
77010,1038,Suplente,GUSTAVO BRENDO DOS SANTOS,GUSTAVO DEZIGUAIS,M,10/04/1994,Válido,77
77700,749,Suplente,LUCIANO NUNES ROCHA,LUCIANO BUDU,M,21/01/1980,Válido,77
77393,203,Suplente,KENNEDY ALEXANDRE FIRMINO DE VASCONCELOS,ALEXANDRE FORTE,M,28/11/1976,Válido,77
77777,1005,Suplente,VAGNER FERNANDES DA SILVA,DR VAGNER,M,22/03/1973,Válido,77
77112,671,Suplente,RAUL SALES SILVA DE OLIVEIRA,RAUL GARAGEM,M,02/01/1991,Válido,77
77500,194,Suplente,MAURICEIA CAVALCANTE DE OLIVEIRA,MAURICEIA CAVALCANTE,F,13/10/1973,Válido,77
77999,90,Suplente,JOSE IVAN TELES DA SILVA NETO,IVAN TELES,M,29/08/1992,Válido,77
77899,234,Suplente,VANIA DINIZ DE ARAÚJO GURGEL,VANIA GURGEL,F,24/12/1952,Válido,77
77666,32,Suplente,DALVA ELIZA SILVA DOS SANTOS,DALVA SANTOS,F,02/12/1987,Válido,77
77000,209,Suplente,KIVIA ALVES BEZERRA,KIVIA BEZERRA,F,02/03/1991,Válido,77
77321,23,Suplente,ANDREIA NASCIMENTO DA SILVA,ANDREIA NASCIMENTO,F,24/05/1988,Válido,77
