numero_partido,votos_legenda,nome_partido,sigla_partido
18,44,Rede Sustentabilidade,REDE
77,682,Solidariedade,SOLIDARIEDADE
80,43,Unidade Popular,UP
10,162,REPUBLICANOS,REPUBLICANOS
19,189,Podemos,PODE
51,52,Patriota,PATRIOTA
13,2634,Partido dos Trabalhadores,PT
45,7250,Partido da Social Democracia Brasileira,PSDB
27,38,Democracia Cristã,DC
23,127,Cidadania,CIDADANIA
70,132,AVANTE,AVANTE
20,246,Partido Social Cristão,PSC
55,309,Partido Social Democrático,PSD
17,1296,Partido Social Liberal,PSL
50,405,Partido Socialismo e Liberdade,PSOL
90,133,Partido Republicano da Ordem Social,PROS
11,315,PROGRESSISTAS,PP
15,350,Movimento Democrático Brasileiro,MDB
14,365,Partido Trabalhista Brasileiro,PTB
43,302,Partido Verde,PV
16,78,Partido Socialista dos Trabalhadores Unificado,PSTU
35,149,Partido da Mulher Brasileira,PMB
40,559,Partido Socialista Brasileiro,PSB
30,211,Partido Novo,NOVO
65,137,Partido Comunista do Brasil,PC do B
12,961,Partido Democrático Trabalhista,PDT
28,285,Partido Renovador Trabalhista Brasileiro,PRTB
22,367,Partido Liberal,PL
