numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
70256,146,Suplente,JOSÉ ANTÕNIO PEREIRA DA SILVA,JOSÉ ANTÔNIO,M,05/01/1985,Válido,70
70700,587,Suplente,JAIRO MUNIZ DE AMORIM,IRMÃO JAIRO,M,27/03/1960,Válido,70
70222,50,Suplente,AURIANI DE JESUS SILVA,AURIANI DE JESUS,F,28/08/1967,Válido,70
70223,23,Suplente,NAIELE SOUZA BATISTA,NAIELE BATISA,F,26/10/1990,Válido,70
70100,154,Suplente,LUCIMAR SANTANA MENDES,LÚCIA MENDES,F,27/01/1981,Válido,70
70000,901,Suplente,HÉLIO SANTANA ARAÚJO,HÉLIO SANTANA,M,27/07/1976,Válido,70
70333,1166,Suplente,JUAREZ RIGOL DA SILVA,JUAREZ RIGOL,M,06/10/1963,Válido,70
70111,734,Suplente,IRINEU SANTOS DA SILVA,IRINEU SANTOS,M,26/06/1976,Válido,70
70007,380,Suplente,VALCY BARBOZA RIBEIRO,VALCY RIBEIRO,M,23/03/1981,Válido,70
70555,51,Suplente,DANILA MICHELE SOUZA DOS SANTOS,DANILA MICHELE,F,06/12/1998,Válido,70
70200,1467,Eleito,WALDSON PEREIRA SALAZAR,WALDSON DA AGESP,M,16/12/1977,Válido,70
70777,126,Suplente,ACRÍZIO SOUSA DA COSTA,BORRACHA MÓVEL,M,10/11/1969,Válido,70
70192,777,Suplente,MAGNA REGINA FERREIRA,MAGNA DA SAÚDE,F,04/09/1972,Válido,70
70123,512,Suplente,JOÃO CAMPOS DE ABREU,PASTOR JOÃO CAMPOS,M,05/04/1956,Válido,70
70038,316,Suplente,RONALDO MILHOMEM BRITO,RONALDO MILHOMEM,M,21/03/1974,Válido,70
70456,579,Suplente,ISMAEL FREIRE CAVALCANTE,ISMAEL CAVALCANTE,M,27/04/1967,Válido,70
27420,35,Não eleito,ORLANDO DOS REIS SILVA,ORLANDO,M,16/08/1982,Válido,27
27123,107,Não eleito,MARCUS EDUARDO NERY ARAUJO DE MENDONÇA,MARCÃO BOLSONARO,M,16/06/1981,Válido,27
27038,190,Não eleito,LUCIMAR GOMES GODOY,LUCIMAR GODOY,F,02/09/1958,Válido,27
27234,36,Não eleito,BRENDA BARROS LOPES,BRENDA DO LAVA JATO,F,08/10/1980,Válido,27
27888,111,Não eleito,NAGI MUNIZ LOPES,NAGI MUNIZ,M,26/06/1980,Válido,27
27135,491,Não eleito,RAILDO MIRANDA MORAIS,RAILDO MIRANDA,M,16/12/1993,Válido,27
27776,160,Não eleito,JOSÉ ALAN DE OLIVEIRA CASTRO,JOSÉ ALAN,M,23/02/1978,Válido,27
27017,3,Não eleito,MARTHA LÚCIA DUARTE ALVES,MARTHA HADASSA,F,29/07/1982,Válido,27
27270,95,Não eleito,LUCAS SANTOS BELINELLE,LUCAS BELINELLE,M,28/11/1989,Válido,27
27000,8,Não eleito,FRANCISCO ANICETO SIQUEIRA NETO,SIQUEIRA NETO,M,29/08/1957,Válido,27
27277,25,Não eleito,RODRIGO BARBOSA RODRIGUES,RODRIGO BARBOSA,M,07/03/1985,Válido,27
27900,17,Não eleito,DUCINALVA FERNANDES RIOS,DULCE DA CASA DAS BECAS,F,10/06/1969,Válido,27
27027,140,Não eleito,FREDERICO GOMES DA ROCHA,FREDY ROCHA,M,25/11/1986,Válido,27
27777,158,Não eleito,ROGÉRIO FERNANDES DA SILVA,ROGÉRIO FERNANDES,M,27/02/1988,Válido,27
27010,328,Não eleito,RAIMUNDO MAGALHÃES DE SOUSA,MAGALHÃES,M,12/03/1959,Válido,27
27300,699,Não eleito,RAIMUNDO NONATO NORONHA ALVES,RAIMUNDO CONTADOR,M,24/08/1972,Válido,27
27012,50,Não eleito,JANICE PEREIRA RODRIGUES,JANICE MARZIO,F,12/09/1978,Válido,27
27121,12,Não eleito,ILMA DE JESUS SOUSA DA SILVA,PASTORA ILMA,F,23/08/1959,Válido,27
27051,162,Não eleito,ERISVALDO MIRANDA DOS SANTOS,NEGUINHO BAIANO,M,09/08/1985,Válido,27
27193,259,Não eleito,PETERSON QUEIROZ DE ORNELAS,BOMBEIRO ORNELAS,M,22/08/1978,Válido,27
27007,40,Não eleito,ANSELMO BENEDITO DE OLIVEIRA,ANSELMO,M,11/02/1957,Válido,27
27100,628,Não eleito,CIRLEY GONÇALVES DA SILVA MENDONÇA,CIRLEY GONÇALVES,M,22/12/1982,Válido,27
27846,5,Não eleito,LAYNARA ALVES LIMA,NARA,F,30/05/1996,Válido,27
27111,130,Não eleito,DJACY ALMEIDA DA SILVA,DJACY ALMEIDA,M,07/09/1964,Válido,27
27191,23,Não eleito,ISAIAS DOS SANTOS NETO,NETO DO ARAGUATINS,M,10/07/1963,Válido,27
27380,147,Não eleito,ISMAEL FREITA MOREIRA,SARGENTO MOREIRA,M,08/04/1969,Válido,27
27200,53,Não eleito,ROSA MARIA ARAUJO DE VASCONCELOS,ROSA MARIA,F,01/02/1973,Válido,27
23023,479,Suplente,GEORGIO MOURA E SILVA,PROFESSOR GEGÊ,M,27/05/1977,Válido,23
23999,5,Suplente,LUCIMAY CARLA ARALDI,CARLA ARALDI,F,01/07/1982,Válido,23
23000,587,Suplente,FLÁVIO DIAS DA SILVA,FLAVIO DIAS,M,04/12/1972,Válido,23
23443,2,Suplente,NAIZE ABREU BANDEIRA DE MELO,NAÍZE MELO,F,06/09/1987,Válido,23
23222,1134,Suplente,WILTON BEZERRA DO NASCIMENTO,WILTON DO ZÉ BRANQUIM,M,29/09/1975,Válido,23
23343,8,Suplente,JARDILENE PEREIRA DA SILVA,JADY,F,27/09/1990,Válido,23
23900,365,Suplente,JURANDI OLIVEIRA DE ALMEIDA,JURANDI OLIVEIRA,M,06/11/1977,Válido,23
23173,8,Suplente,RAIMUNDA BARBOSA BARREIRA DA SILVA,RAIMUNDA BARBOSA,F,18/12/1985,Válido,23
