numero_partido,votos_legenda,nome_partido,sigla_partido
70,99,AVANTE,AVANTE
27,48,Democracia Cristã,DC
23,79,Cidadania,CIDADANIA
15,151,Movimento Democrático Brasileiro,MDB
25,144,Democratas,DEM
28,37,Partido Renovador Trabalhista Brasileiro,PRTB
22,100,Partido Liberal,PL
65,40,Partido Comunista do Brasil,PC do B
12,184,Partido Democrático Trabalhista,PDT
50,71,Partido Socialismo e Liberdade,PSOL
17,363,Partido Social Liberal,PSL
90,247,Partido Republicano da Ordem Social,PROS
20,47,Partido Social Cristão,PSC
35,30,Partido da Mulher Brasileira,PMB
14,55,Partido Trabalhista Brasileiro,PTB
40,383,Partido Socialista Brasileiro,PSB
36,25,Partido Trabalhista Cristão,PTC
43,138,Partido Verde,PV
13,309,Partido dos Trabalhadores,PT
51,73,Patriota,PATRIOTA
45,1444,Partido da Social Democracia Brasileira,PSDB
19,124,Podemos,PODE
10,228,REPUBLICANOS,REPUBLICANOS
77,423,Solidariedade,SOLIDARIEDADE
18,23,Rede Sustentabilidade,REDE
