numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
70888,53,Não eleito,CARLOS ALBERTO AMARO BRUM,CARLOS BRUM,M,22/08/1952,Válido,70
70999,271,Não eleito,GELSON LUIS PEREIRA SANTANA,GELSON SANTANA,M,16/09/1982,Válido,70
70666,152,Não eleito,DENISE CRISTINA MATTOS CARDOSO,DENISE CARDOSO,F,19/01/1980,Válido,70
70123,466,Não eleito,RENAN SILVA DOS SANTOS,RENAN SANTOS,M,25/01/1998,Válido,70
70311,8,Não eleito,ROSANE ANACLETO SCHRAMM,ROSANE SCHRAMM,F,22/06/1968,Válido,70
70171,123,Não eleito,JOAO LUIZ CAMPOS STAMM JUNIOR,STAMM JUNIOR,M,07/06/1971,Válido,70
70188,125,Não eleito,MARCIA LIMA CANDIDO,MARCIA CANDIDO,F,14/05/1976,Válido,70
70470,141,Não eleito,MARISE DE OLIVEIRA GOMES,MARISE GUTIERRES,F,21/09/1958,Válido,70
70013,57,Não eleito,MAURICIO GOMES DE MOURA,MAURÍCIO GOMES,M,13/08/1981,Válido,70
70007,156,Não eleito,LUIS AMÉRICO DE MATTOS RODRIGUES,AMÉRICO MATTOS,M,24/05/1975,Válido,70
70111,52,Não eleito,LUÍS FERNANDO BOTELHO SOARES,FERNANDO BOTELHO,M,20/04/1961,Válido,70
70100,126,Não eleito,ANDERSON DE PAULA FERREIRA,ANDERSON MIGÃO,M,20/03/1986,Válido,70
70234,4,Não eleito,JORGE CRISTIANO OLIVEIRA DE OLIVEIRA,JUKINHA OLIVEIRA,M,03/04/1975,Válido,70
70070,53,Não eleito,ANTONIO AUGUSTO DE OLIVEIRA E SILVA,ANTONIO AUGUSTO DE OLIVEIRA,M,27/08/1961,Válido,70
23800,197,Suplente,PAULO ROBERTO KENDZERSKI JUNIOR,PAULO JUNIOR,M,29/05/1983,Válido,23
23500,1255,Suplente,ALESSANDRO AVILA,ALESSANDRO BONECA,M,17/04/1976,Válido,23
23008,252,Suplente,ELSA MARIA DE ANDRADE,ELSA ANDRADE,F,18/07/1951,Válido,23
23130,35,Suplente,KLAUS FELINTO DE OLIVEIRA,AUDITOR KLAUS,M,20/12/1970,Válido,23
23423,65,Suplente,MARCIA JOSIANE OLIVEIRA DE LIMA,MARCIA LIMA,F,26/02/1974,Válido,23
23777,341,Suplente,FELIPE FERRAZ MERINO,PROFESSOR  MERINO,M,29/11/1973,Válido,23
23321,400,Suplente,GIOVANE MARTINS VAZ DOS SANTOS,GIOVANE VAZ,M,29/07/1994,Válido,23
23555,159,Suplente,VAGNER GARCEZ SOARES,PROFESSOR GARCEZ,M,16/06/1983,Válido,23
23023,203,Suplente,JOÃO ALBERTO MORSCH,JOÃO MORSCH,M,04/11/1964,Válido,23
23210,427,Suplente,EVERSON CARLOS NASCIMENTO SA,EVERSON SA,M,31/01/1973,Válido,23
23323,188,Suplente,LUCAS DE BORBA FERREIRA,LUCAS BORBA,M,15/02/1998,Válido,23
23190,248,Suplente,PAULO ROBERTO NAISINGER DE OLIVEIRA,PAULÃO PAQUETA,M,07/10/1970,Válido,23
23000,1446,Suplente,MARCOS FELIPI HADDAD DE MENEZES GARCIA,MARCOS,M,30/10/1992,Válido,23
23303,218,Suplente,CAMILA PEREIRA RODRIGUES,CAMILA RODRIGUES,F,03/05/1980,Válido,23
23600,103,Suplente,ESTER DA SILVA GARCIA,ESTER GARCIA,F,29/10/1954,Válido,23
23117,91,Suplente,HEBERTI REGIS PAMPLONA DE ABREU,HEBERTI O PROFESSOR,M,18/02/1979,Válido,23
23201,597,Suplente,LUCIANE SOARES XAVIER,LUCIANE XAVIER,F,21/11/1976,Válido,23
23099,75,Suplente,CRISTIAN MARQUES ALMEIDA,ALEMÃO DO APP,M,25/07/1981,Válido,23
23575,85,Suplente,DALVA DE MOURA VARGAS,DALVA  VARGAS,F,09/01/1947,Válido,23
23001,1197,Suplente,CHEILA MARIA SCHROER,CHEILA SCHROER,F,18/11/1965,Válido,23
23300,1035,Suplente,VINICIUS GEIGER,VINI GEIGER,M,27/12/1982,Válido,23
23100,255,Suplente,PAULO CESAR BOMBASSARO,PAULINHO TCHE BARBARIDADE,M,01/05/1959,Válido,23
23400,158,Suplente,MONIQUE RAUPP SILVA,MONIQUE RAUPP,F,30/09/1985,Válido,23
23007,205,Suplente,JOEL SOUZA DE OLIVEIRA,DELEGADO JOEL,M,28/02/1953,Válido,23
23456,1011,Suplente,LUIZ JACOMINI RIGHI FILHO,LUIZ JACOMINI,M,26/10/1986,Válido,23
23111,1166,Suplente,ARTHUR CAUDURO,PROFESSOR CAUDURO,M,11/01/1961,Válido,23
23033,352,Suplente,RAFAEL OLIVEIRA DE BAIRROS,RAFA BAIRROS,M,06/02/1988,Válido,23
