numero_partido,votos_legenda,nome_partido,sigla_partido
70,109,AVANTE,AVANTE
23,371,Cidadania,CIDADANIA
15,8338,Movimento Democrático Brasileiro,MDB
25,569,Democratas,DEM
65,6970,Partido Comunista do Brasil,PC do B
12,3985,Partido Democrático Trabalhista,PDT
22,382,Partido Liberal,PL
11,1141,PROGRESSISTAS,PP
30,3466,Partido Novo,NOVO
21,155,Partido Comunista Brasileiro,PCB
28,222,Partido Renovador Trabalhista Brasileiro,PRTB
20,228,Partido Social Cristão,PSC
55,1055,Partido Social Democrático,PSD
17,757,Partido Social Liberal,PSL
90,330,Partido Republicano da Ordem Social,PROS
50,3905,Partido Socialismo e Liberdade,PSOL
14,1307,Partido Trabalhista Brasileiro,PTB
40,410,Partido Socialista Brasileiro,PSB
16,208,Partido Socialista dos Trabalhadores Unificado,PSTU
43,425,Partido Verde,PV
51,203,Patriota,PATRIOTA
13,5934,Partido dos Trabalhadores,PT
45,7069,Partido da Social Democracia Brasileira,PSDB
19,134,Podemos,PODE
77,288,Solidariedade,SOLIDARIEDADE
10,1312,REPUBLICANOS,REPUBLICANOS
80,72,Unidade Popular,UP
