numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
51900,531,Suplente,FERNANDO ALVES LORAS QUEIROZ,FERNANDO LORAS,M,19/01/1987,Válido,51
51222,447,Suplente,LUCIANA GONÇALVES BEZERRA,LUCIANA BEZERRA,F,10/02/1972,Válido,51
51700,912,Suplente,EDNEI LIMA PINHEIRO,EDNEI DA JUSTIÇA ,M,22/12/1971,Válido,51
51007,384,Suplente,LEILSON COSTA DE SOUZA,LEILSON SOUZA,M,18/04/1983,Válido,51
51200,955,Suplente,FRANCISCO LEONILSON CARLOS DE SOUZA,PROFESSOR LEO,M,18/07/1974,Válido,51
51141,73,Suplente,ELMARA CRISTINA FREITAS COELHO,ELMARA PERON,F,08/05/1974,Válido,51
51000,1245,Eleito,CARLOS AUGUSTO FARIAS DAMACENO,CARLOS DAMACENO,M,20/12/1985,Válido,51
51300,427,Suplente,JUAREZ DE JEZUS TAQUES,JUAREZ TAQUEZ,M,09/03/1957,Válido,51
51151,75,Suplente,TITO SOARES PAZ,TITO PAZ,M,27/09/1958,Válido,51
51234,439,Suplente,JOSE ELIZEU DOS SANTOS,ELIZEU SANTOS,M,17/03/1975,Válido,51
51555,628,Suplente,MARCIO VIEIRA DO CARMO,MARCIO POETA,M,18/11/1978,Válido,51
51888,759,Suplente,FRANCISCO ALENCAR DA SILVA,DELEGADO ALENCAR,M,31/01/1966,Válido,51
51001,86,Suplente,TALITA DE SOUZA LIMA FEITOSA,PASTORA TALITA FEITOSA,F,22/06/1967,Válido,51
51111,111,Suplente,CRISLANI BANDEIRA DE MELLO,CRIS MELLO,F,23/05/1994,Válido,51
51238,92,Suplente,LUCIMAR DA SILVA OLIVIERA,PASTOR LUCIMAR,M,20/09/1976,Válido,51
51789,486,Suplente,LUCINA DAS NEVES NUNES,LUCINA NUNES,F,08/08/1967,Válido,51
51051,88,Suplente,SILVIO ROBERTO SOUSA COSTA,SILVIO ROBERTO,M,19/06/1988,Válido,51
51277,100,Suplente,PAULO CARVALHO DE BARROS,PAULO CARVALHO,M,02/02/1977,Válido,51
51999,170,Suplente,GUDEMBERG DE OLIVEIRA RITA,GUDEMBERG,M,24/08/1973,Válido,51
51333,764,Suplente,ROSAN RODRIGUES BARBOSA,PASTOR ROSAN,M,02/06/1968,Válido,51
51400,159,Suplente,NAJARA LEANDRA DE OLIVEIRA,NAJARA LEANDRA,F,12/06/1985,Válido,51
51319,63,Suplente,ELINA COSTA DAMASIO,ELINA DAMASIO,F,26/07/1989,Válido,51
51551,622,Suplente,MARCELO RODRIGUES PEGO,MARCELO DO CAFE,M,17/08/1971,Válido,51
51678,86,Suplente,JANILSON CLENIO PEREIRA SANTOS,JANILSON CLENIO,M,04/02/1974,Válido,51
51100,493,Suplente,MARIO MARCELO BARROS DOS SANTOS,DOUTOR MARIO MARCELO,M,23/10/1972,Válido,51
51123,528,Suplente,CARLOS DE OLIVEIRA SILVA,CARLOS OLIVEIRA,M,07/08/1971,Válido,51
51444,404,Suplente,ILKA DA SILVA VIEIRA,DRA ILKA VIEIRA ADVOGADA,F,29/11/1972,Válido,51
51777,356,Suplente,CILAS RODRIGUES FILHO,SILAS FILHO,M,18/12/1977,Válido,51
51500,1927,Eleito,ISAQUE LIMA MACHADO,ISAQUE MACHADO,M,01/11/1977,Válido,51
51364,681,Suplente,SUELY BELARMINO DOS SANTOS,PROFESSORA SUELY BELARMINO,F,05/09/1966,Válido,51
51345,42,Suplente,JOSE CARLOS DE PAULA SALCEDO,CARLAO DO POVO,M,23/03/1970,Válido,51
51951,98,Suplente,SIMONE DOS SANTOS MAGAVEL,SIMONE SANTOS,F,05/11/1973,Válido,51
77533,30,Não eleito,ADRIANA PATRÍCIA DE OLIVEIRA PAIVA MORET DE FREITAS,ADRIANA PAIVA,F,07/11/1973,Válido,77
77222,62,Não eleito,WELLINGTON ALVES DE SOUZA,WELLINGTON LOURO,M,28/10/1969,Válido,77
77999,259,Não eleito,ALISANGELA LIMA FERREIRA,ALISANGELA LIMA,F,19/06/1972,Válido,77
77300,155,Não eleito,SILVIA ORIANI DE GRACIA LIMA,SILVIA ORIANI,F,28/06/1971,Válido,77
77200,180,Não eleito,ANTÔNIO ALVES FERREIRA,FERREIRINHA,M,18/07/1967,Válido,77
77900,2,Não eleito,RAIMUNDO DE PAULA AVELINO MACÊDO,RAIMUNDO DE PAULA,M,18/03/1979,Válido,77
77011,272,Não eleito,MARIA CONCEIÇÃO ALVES,PROFESSORA CONCEIÇÃO,F,30/04/1974,Válido,77
77190,784,Não eleito,SILVIO LUIZ RODRIGUES RAMALHO,SARGENTO RAMALHO,M,03/02/1975,Válido,77
77001,158,Não eleito,RUBEMAR MORAES DE SOUZA,RUBEMAR MORAES,M,15/08/1973,Válido,77
77333,240,Não eleito,LUIS HENRIQUE PEREIRA DE MIRANDA LOPES,LUISINHO MIRANDA,M,20/11/1970,Válido,77
77550,57,Não eleito,MARCOS WISNHER DOS SANTOS TERÇO,MARCOS TERÇO,M,18/01/1959,Válido,77
77800,8,Não eleito,GEANY DA SILVA MORAES,GEANY MORAES,F,15/01/1974,Válido,77
77321,114,Não eleito,JOSE JULIO QUEIROZ CHAVES,JÚLIO CHAVES,M,03/05/1963,Válido,77
77330,34,Não eleito,LUZIA MARÃES RODRIGUES,LUH  RODRIGUES,F,16/04/1972,Válido,77
77350,207,Não eleito,MARCIA DA SILVA FERREIRA,MARCIA FERREIRA,F,13/11/1975,Válido,77
77100,198,Não eleito,SEBASTIÃO WALTER SANTANA,SABA SANTANA,M,04/06/1956,Válido,77
77777,1226,Não eleito,JULIO ANDRE KASPER DA SILVA,JULIO KASPER,M,19/04/1987,Válido,77
77060,219,Não eleito,GILMAR DAS GRAÇAS SOARES,GILMAR DO RAIO X,M,09/08/1960,Válido,77
77227,54,Não eleito,PAULO MAIA DE SOUZA,PAULO MAIA,M,02/08/1965,Válido,77
77700,54,Não eleito,VALDECI FILHO RIBEIRO MELO,PROF. VALDECI RIBEIRO,M,12/10/1969,Válido,77
77000,77,Não eleito,LUCIANO FRANCISCO DA COSTA,LUCIANO COSTA,M,01/06/1992,Válido,77
10140,323,Suplente,ELTON LIMA GONÇALVES,ELTON LIMA,M,18/08/1987,Válido,10
10101,89,Suplente,EDILSON ALVES NASCIMENTO,EDILSON O COMBATENTE,M,22/09/1973,Válido,10
10300,56,Suplente,MARIA ANTONIA BEZERRA,TOINHA BEZERRA,F,06/09/1961,Válido,10
10333,146,Suplente,EDUARDO FELIPE DE OLIVEIRA LIMA,EDUARDO FELIPE,M,08/08/1984,Válido,10
10555,899,Suplente,LAELSON DA SILVA LIMA,LAELSON LIMA DO PLANALTO,M,10/09/1977,Válido,10
10789,1290,Eleito,EVERALDO ALVES FOGAÇA,FOGAÇA DO SITE O OBSERVADOR,M,23/03/1973,Válido,10
10444,1088,Suplente,RONEUDO SOARES FERREIRA,ENFERMEIRO RONEUDO SOARES,M,21/04/1976,Válido,10
10023,84,Suplente,FRANCISCO ABREU ROSAS,FRANCISCO PAPA LÉGUAS,M,30/01/1976,Válido,10
10500,156,Suplente,JOAO VIANA DE LIMA,JOAO VIANA,M,12/04/1974,Válido,10
10010,121,Suplente,ECILIO LIMA BELEZA,ECILIO LIMA,M,28/12/1978,Válido,10
10103,671,Suplente,ARIMAR SOUZA DE SÁ,ARIMAR SOUZA DE SÁ,M,06/10/1959,Válido,10
10111,49,Suplente,ANTONIA MARIA LOPES DE ALMEIDA,ANTONIA M LOPES,F,22/01/1974,Válido,10
10318,16,Suplente,DAGUIMAR LUSTOSA NOGUEIRA CAVALCANTE,DAGUIMAR CAVALCANTE,F,04/11/1978,Válido,10
10456,820,Não eleito,EZEQUIEL SOARES DA SILVA,EZEQUIEL SILVA,M,05/10/1977,Anulado sub judice,10
10070,31,Suplente,GLENDA BEZERRA DA SILVA,GLENDA BEZERRA,F,17/12/1991,Válido,10
10100,735,Suplente,JERRY ANTONIO FERREIRA NUNES,JERRY NUNES,M,01/06/1970,Válido,10
10888,829,Suplente,SAMUEL FERREIRA DA SILVA,SAMUEL MORUNGAPE,M,27/12/1980,Válido,10
10222,209,Suplente,SILVIA SADECK SOARES RODRIGUES,SILVIA SOARES,F,08/08/1969,Válido,10
10258,153,Suplente,JONATAN AIRES MOTA,JHONATAN MOTA,M,06/05/1992,Válido,10
10120,76,Suplente,LINDINALVA COSTA,LINDY DA TERRA SANTA,F,06/06/1979,Válido,10
10190,61,Suplente,LIGIA VIEIRA LIMA CARDOSO,CABO LIGIA,F,14/02/1987,Válido,10
10777,69,Suplente,VALMIR LEITE DE SOUZA,VALMIR XERETA,M,21/06/1967,Válido,10
10234,122,Suplente,GERALDO MACEDO DA SILVA,MACEDO SUCESSO,M,27/09/1966,Válido,10
10123,3722,Eleito,VANDERLEI DOS SANTOS SILVA,VANDERLEI SILVA,M,25/02/1977,Válido,10
10700,155,Suplente,PATRICIA CRISTINA DOS SANTOS MONTOIA,PATRICIA MONTOIA,F,23/02/1979,Válido,10
10220,45,Suplente,INEZ ROSA DOS SANTOS,INEZ ROSA,F,07/01/1969,Válido,10
10307,225,Suplente,MARCELO BOTELHO DE CARVALHO,MARCELO BOTELHO,M,13/01/1985,Válido,10
