numero_partido,votos_legenda,nome_partido,sigla_partido
51,148,Patriota,PATRIOTA
77,369,Solidariedade,SOLIDARIEDADE
10,878,REPUBLICANOS,REPUBLICANOS
19,248,Podemos,PODE
18,34,Rede Sustentabilidade,REDE
13,672,Partido dos Trabalhadores,PT
45,2635,Partido da Social Democracia Brasileira,PSDB
22,281,Partido Liberal,PL
55,140,Partido Social Democrático,PSD
90,98,Partido Republicano da Ordem Social,PROS
28,54,Partido Renovador Trabalhista Brasileiro,PRTB
20,201,Partido Social Cristão,PSC
40,247,Partido Socialista Brasileiro,PSB
14,189,Partido Trabalhista Brasileiro,PTB
16,42,Partido Socialista dos Trabalhadores Unificado,PSTU
17,288,Partido Social Liberal,PSL
43,132,Partido Verde,PV
50,126,Partido Socialismo e Liberdade,PSOL
27,20,Democracia Cristã,DC
70,669,AVANTE,AVANTE
15,484,Movimento Democrático Brasileiro,MDB
23,664,Cidadania,CIDADANIA
25,166,Democratas,DEM
65,96,Partido Comunista do Brasil,PC do B
12,325,Partido Democrático Trabalhista,PDT
11,1200,PROGRESSISTAS,PP
