numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
70007,1846,Suplente,LUIZ ANTONIO DE FREITAS,LULA LEGAL,M,20/02/1973,Válido,70
70066,646,Suplente,IRAQUITAM BELIZARIO ALVES,IRÁ,M,25/06/1966,Válido,70
70123,2917,Suplente,FÁBIO GOMES DE SOUZA JUNIOR,FÁBIO GOMES,M,14/05/1983,Válido,70
70125,79,Suplente,SIZENANDO LINS DA SILVA,NANDO LINS,M,25/11/1983,Válido,70
70369,161,Suplente,JOSÉ FLÁVIO RODRIGUES SOUTO MAIOR,FLÁVIO JOSÉ,M,10/01/1961,Válido,70
70777,2075,Suplente,ROGERIO FAÇANHA DE SOUZA,BELO BELO,M,05/11/1972,Válido,70
70024,0,Suplente,GECILENE VALÉRIA DE LIMA FERNANDES,GERCILENE FERNANDES,F,05/07/1970,Válido,70
70015,164,Suplente,JORGE ANTONIO MACIEL,CAPELAO JORGE CELL,M,18/04/1982,Válido,70
70055,1779,Suplente,NELSON FERNANDES CRISTOVAM,NELSINHO,M,21/12/1967,Válido,70
70228,0,Suplente,RAIZA DOS SANTOS VIEIRA,RAIZA SANTOS,F,06/06/1991,Válido,70
70234,406,Suplente,WELLINGTON DOMINGOS DA SILVA,WELLINGTON BOITE,M,13/01/1975,Válido,70
70655,4404,Eleito,DILSON BATISTA DE ALBUQUERQUE,DILSON BATISTA,M,26/03/1980,Válido,70
70611,0,Suplente,VICTORIA DE SOUZA TRAVASSOS,VICTORIA TRAVASSOS,F,28/11/1995,Válido,70
70670,230,Suplente,ANTONIO FERNANDO BEZERRA COSTA,SEU ANTÔNIO,M,16/01/1960,Válido,70
70013,5,Suplente,JENNIFER ANDRADE DE OLIVEIRA,JENNIFER ANDRADE,F,22/10/1992,Válido,70
70100,316,Suplente,FREDERICO BENTO MARANHÃO,FREDERICO BENTO,M,13/01/1969,Válido,70
70189,11,Suplente,FLAVIA EVA DE FRANÇA,FLÁVIA EVA DO COQUE,F,19/07/1989,Válido,70
70111,755,Suplente,MARCOS JOSÉ VILA NOVA DE SOUZA,MARCOS VILA NOVA,M,14/01/1964,Válido,70
70456,1421,Suplente,EDMILSON MARQUES RIBEIRO,EDMILSON MARQUES,M,15/04/1962,Válido,70
70620,43,Suplente,ALEXSANDRA MARINHO DA SILVA,LEKE DA COXINHA,F,04/08/1982,Válido,70
70942,0,Suplente,EDJANE MARIA DA SILVA,EDJANE MARIA,F,18/12/1969,Válido,70
70700,1818,Suplente,LUIZ WALBER DOS SANTOS,WALBER SANTOS,M,26/03/1965,Válido,70
70888,30,Suplente,JESSICA LUIZA RIBEIRO DE OLIVEIRA PEREIRA,JESSICA LUIZA,F,31/12/1986,Válido,70
70420,592,Suplente,MARCO AURELIO DE BARROS E SILVA,MARCO SMOKE,M,28/12/1965,Válido,70
70622,1010,Suplente,SAMUEL SOUZA DA SILVA,CABO SAMUEL,M,11/04/1965,Válido,70
70124,263,Suplente,ADEILTON ANDRADE SILVA,DEDEU DA COMUNIDADE,M,23/10/1967,Válido,70
70333,70,Suplente,ROBSON LEITE LINS JUNIOR,ROBSON LEITE,M,06/04/1970,Válido,70
70001,380,Suplente,MATEUS JONATAS SOUZA,DR MATEUS SOUZA,M,12/08/1984,Válido,70
70070,374,Suplente,CLAUDIONOR GERMANO DA HORA FILHO,NONÔ GERMANO,M,04/06/1969,Válido,70
70666,55,Suplente,JOSÉ SEBASTIÃO ALVES DE OLIVEIRA FILHO,JOSÉ ALVES CARAVANISTA,M,15/06/1970,Válido,70
70789,83,Suplente,PEDRO SEVERINO VIDAL DA SILVA,PEDRO VIDAL,M,16/05/1965,Válido,70
70110,25,Suplente,VILMA LEITE CAVALCANTI,WILMA LINARY,F,08/04/1967,Válido,70
70643,284,Suplente,NIELZO FERREIRA DA SILVA,SARGENTO NIELZO,M,18/02/1973,Válido,70
70187,181,Suplente,SUMAYA TEIXEIRA LIMA DE ALMEIDA,SUMAYA TEIXEIRA,F,29/03/1972,Válido,70
70087,19,Suplente,RENATA DE LIMA RODRIGUES,RENATA RODRIGUES,F,06/07/1987,Válido,70
70707,1119,Suplente,DAVID GERSON FARIAS DANTAS,DEIVINHO DANTAS,M,20/12/1989,Válido,70
70130,179,Suplente,WILLAMS DA SILVA FERNANDES,WILLAMS FERNANDES SANTO AMARO,M,02/12/1976,Válido,70
70214,29,Suplente,CARLOS ROBERTO MAGALHÃES NUMERIANO,ROBERTO NUMERIANO,M,10/08/1962,Válido,70
70615,1,Suplente,FLAVIA REJANE BENTO UCHÔA,FLAVIA REJANE,F,21/07/1977,Válido,70
70678,363,Suplente,RENATO GONÇALVES DE LIMA,RENATINHO DO SANTA CRUZ,M,14/09/1991,Válido,70
70011,1799,Suplente,MELQUI RIBEIRO ROMA FILHO,MELQUI ROMA,M,29/03/1950,Válido,70
70020,377,Suplente,EUFRAZIO CORREIA DOS PASSOS,EUFRÁZIO PASSOS,M,14/10/1962,Válido,70
70612,20,Suplente,HORACIO MACHADO BRANDÃO NETO,HORÁCIO BRANDÃO,M,16/12/1962,Válido,70
70000,816,Suplente,SAVIO MORETHE DA SILVA,SAVIO MORETHE,M,06/08/1966,Válido,70
70555,5276,Eleito,FABIANO FERRAZ,FABIANO FERRAZ,M,28/06/1980,Válido,70
70444,982,Suplente,MANOEL PINHEIRO BEZERRA,MANOEL PINHEIRO,M,09/06/1949,Válido,70
70121,1,Suplente,CARLOS EDUARDO DE MATOS MENEZES,EDUARDO MATOS,M,19/07/1973,Válido,70
70999,234,Suplente,MARCOS FERREIRA DO NASCIMENTO,PROF MARCÃO NASCIMENTO,M,26/10/1958,Válido,70
23678,94,Suplente,LENI CARLOS DE BARROS,LENI CARLOS,F,25/01/1964,Válido,23
23400,1438,Suplente,THYAGO DE AMORIM BATISTA,THYAGO AMORIM,M,10/04/1985,Válido,23
23654,3,Suplente,DURVANICE GONÇALO DE OLIVEIRA,BRANCA DURVANICE,F,23/07/1970,Válido,23
23110,820,Suplente,SWAMY FEITOSA RIBAS,MI,M,10/09/1978,Válido,23
