numero_partido,votos_legenda,nome_partido,sigla_partido
70,365,AVANTE,AVANTE
23,475,Cidadania,CIDADANIA
27,59,Democracia Cristã,DC
15,713,Movimento Democrático Brasileiro,MDB
25,7239,Democratas,DEM
11,1287,PROGRESSISTAS,PP
30,998,Partido Novo,NOVO
28,323,Partido Renovador Trabalhista Brasileiro,PRTB
21,154,Partido Comunista Brasileiro,PCB
12,1209,Partido Democrático Trabalhista,PDT
65,459,Partido Comunista do Brasil,PC do B
90,243,Partido Republicano da Ordem Social,PROS
17,1350,Partido Social Liberal,PSL
50,1120,Partido Socialismo e Liberdade,PSOL
20,904,Partido Social Cristão,PSC
40,14169,Partido Socialista Brasileiro,PSB
36,142,Partido Trabalhista Cristão,PTC
14,489,Partido Trabalhista Brasileiro,PTB
43,162,Partido Verde,PV
16,291,Partido Socialista dos Trabalhadores Unificado,PSTU
13,10358,Partido dos Trabalhadores,PT
77,489,Solidariedade,SOLIDARIEDADE
10,637,REPUBLICANOS,REPUBLICANOS
80,115,Unidade Popular,UP
19,2919,Podemos,PODE
18,136,Rede Sustentabilidade,REDE
