numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27114,9,Não eleito,MARINETE DE FRANÇA CARNEIRO,MARI CARNEIRO,F,02/01/1979,Válido,27
27800,81,Não eleito,MARIA DE JESUS SILVA DE SOUZA,MARIA BANANINHA,F,23/08/1980,Válido,27
27111,88,Não eleito,ANTONIO FRANCISCO CAJAZEIRA DE MELO,NEGO CAJAZEIRA,M,23/10/1979,Válido,27
27333,234,Não eleito,RAIMUNDO MOREIRA NOLETO,RAIMUNDO NOLETO,M,11/12/1959,Válido,27
27190,80,Não eleito,REINALDO VENÂNCIO DA CRUZ NETO,REINALDO CRUZ,M,20/05/1982,Válido,27
27000,1296,Não eleito,GLADSON AUGUSTO SILVA MENEZES,GLEIDSON MENEZES,M,29/10/1964,Válido,27
27136,38,Não eleito,MANOEL VALDIR TEIXEIRA DE SOUZA,CABIDE,M,25/04/1962,Válido,27
27299,145,Não eleito,JARDEL DOS SANTOS MAIA,JARDEL MAIA,M,21/01/1977,Válido,27
27888,127,Não eleito,TÂNIA MARIA FERNANDES RAMOS,TÂNIA RAMOS,F,01/07/1963,Válido,27
27777,50,Não eleito,JOANA AYSHA COSTA ASSIS,JOANA AYSHA,F,17/09/1983,Válido,27
27007,77,Não eleito,MANOEL DO CARMO SILVA,MANOEL DO CARMO É O CORREDOR,M,15/05/1973,Válido,27
27222,70,Não eleito,ALAN CARLOS ALVES DA SILVA,ALAN CARLOS,M,10/06/1966,Válido,27
27456,42,Não eleito,JOSE BELCHIOR DA SILVA OLIVEIRA,PR BELCHIOR,M,21/07/1965,Válido,27
27012,150,Não eleito,MANOEL FRANCISCO LIMA DE SOUZA,MANOEL IZO,M,27/10/1971,Válido,27
27555,149,Não eleito,JULIO CESAR DE SOUZA DE BRITO,JULIO BRITO,M,08/05/1981,Válido,27
27003,39,Não eleito,JOSE WILSON AGUIAR,SR WILSON HISTORIADOR,M,06/08/1962,Válido,27
27123,39,Não eleito,MISAEL MOTA DE SOUZA MARTINS,MISAEL MARTINS,M,15/05/1988,Válido,27
27999,83,Não eleito,RAIMUNDA GLEINA OLIVEIRA DA SILVA,GLEINA,F,05/04/1988,Válido,27
27444,318,Não eleito,HELDER COTTA PAIVA,HELDER PAIVA,M,24/07/1957,Válido,27
27100,99,Não eleito,MIRACY NUNES ALMEIDA,MIRA MIROCA,F,21/06/1967,Válido,27
70789,49,Não eleito,DAVI PAIVA DE ABREU,MISSIONÁRIO DAVI PAIVA,M,20/08/1997,Válido,70
70070,16,Não eleito,MARIA DE FATIMA LOPES RIOS,FATIMA RIOS ,F,28/03/1969,Válido,70
70456,1025,Não eleito,JIMY DA SILVA LIMA,JIMY JURUNA,M,05/02/1980,Válido,70
70321,177,Não eleito,FERNANDO JOSÉ  NASCIMENTO DE OLIVEIRA,FERNANDINHO,M,03/08/1985,Válido,70
70190,55,Não eleito,MARIA DA GLORIA FIGUEIREDO MELO,GLÓRIA MELO,F,08/02/1981,Válido,70
70007,18,Não eleito,TALIA FERRAZ RODRIGUES,TALIA FERRAZ,F,08/08/1997,Válido,70
70157,17,Não eleito,RAYANY SOUZA DE ARAÚJO,RAYANY ARAÚJO,F,15/12/1982,Válido,70
70555,198,Não eleito,STÉFANE DE ARAÚJO LOPES,STÉFANE ,F,09/12/2001,Válido,70
70123,777,Não eleito,JOSÉ JANES GOMES DA SILVA,JANES PETECA ,M,09/03/1978,Válido,70
70000,666,Não eleito,ALEXANDRE THOMAZINI COELHO,THOMAZINI,M,13/05/1986,Válido,70
70770,239,Não eleito,JOSÉ FRANCISCO DE LIMA MOTA,MOTA DO BELO JARDIM,M,13/08/1966,Válido,70
