numero_partido,votos_legenda,nome_partido,sigla_partido
27,50,Democracia Cristã,DC
70,133,AVANTE,AVANTE
25,116,Democratas,DEM
23,67,Cidadania,CIDADANIA
15,908,Movimento Democrático Brasileiro,MDB
11,4293,PROGRESSISTAS,PP
12,334,Partido Democrático Trabalhista,PDT
22,120,Partido Liberal,PL
21,54,Partido Comunista Brasileiro,PCB
65,63,Partido Comunista do Brasil,PC do B
90,26,Partido Republicano da Ordem Social,PROS
40,1513,Partido Socialista Brasileiro,PSB
55,163,Partido Social Democrático,PSD
20,130,Partido Social Cristão,PSC
50,45,Partido Socialismo e Liberdade,PSOL
17,130,Partido Social Liberal,PSL
29,5,Partido da Causa Operária,PCO
33,38,Partido da Mobilização Nacional,PMN
35,8,Partido da Mulher Brasileira,PMB
14,76,Partido Trabalhista Brasileiro,PTB
45,1003,Partido da Social Democracia Brasileira,PSDB
43,64,Partido Verde,PV
13,816,Partido dos Trabalhadores,PT
19,92,Podemos,PODE
51,70,Patriota,PATRIOTA
10,119,REPUBLICANOS,REPUBLICANOS
77,125,Solidariedade,SOLIDARIEDADE
