numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
80180,371,Não eleito,ESLANE SILVA DA PAIXÃO,ESLANE PAIXÃO,F,20/04/1993,Válido,80
80777,372,Não eleito,JOSEANE OLIVEIRA DO ESPIRITO SANTO SILVA,JOSY OLIVEIRA,F,27/10/1983,Válido,80
80123,86,Não eleito,VICTOR AICAU MORAES PIRES DE SOUZA,VICTOR AICAU,M,14/01/1995,Válido,80
18175,110,Não eleito,SERGIO DA SILVA CARVALHO,SERGIO COCO,M,13/05/1976,Válido,18
18190,86,Não eleito,EDVALDO EVANGELISTA MATIAS,MESTRE JOÃO DE BARRO,M,06/11/1954,Válido,18
18188,224,Não eleito,CARMEM MARIA DA SILVA LISBOA DE CASIA,PROFESSORA CARMEM LISBOA,F,15/12/1960,Válido,18
18588,129,Não eleito,ROBSON ALMEIDA COSTA,ROBSON VIGILANTE,M,28/04/1967,Válido,18
18835,146,Não eleito,LEDA SILVA BARRETO,LEDA BARRETO,F,27/08/1974,Válido,18
18619,69,Não eleito,SALVADOR FREITAS DE JESUS,NÓ CEGO,M,30/08/1957,Válido,18
18837,42,Não eleito,ROBSON RODRIGUES DOS SANTOS,ROBSÃO,M,05/08/1976,Válido,18
18014,29,Não eleito,ANTONIO CRUZ BATISTA,BATISTA,M,11/04/1955,Válido,18
18198,448,Não eleito,SÉRVIO TÚLIO DOS SANTOS DE MOURA,TÚLIO CONTADOR,M,01/11/1964,Válido,18
18111,36,Não eleito,PAULO CESAR SOUSA BACELAR,PAULO BACELAR,M,12/01/1971,Válido,18
18123,127,Não eleito,GRACINO JOSE DA CONCEIÇÃO,GAL SEXTOU,M,14/02/1956,Válido,18
18117,212,Não eleito,IARA LÚCIA RIBEIRO VINHÁTICO,IARA VINHÁTICO,F,11/08/1964,Válido,18
18886,115,Não eleito,JOSIMEIRE SANTOS DA PAIXÃO,PRINCESA NEGRA,F,08/09/1986,Válido,18
18776,93,Não eleito,ZILDA DE JESUS NERI,ZILDA NERI,F,02/07/1975,Válido,18
18444,352,Não eleito,OSVALDO SANTOS MARTINS,OSVALDINHO DO SAMBA,M,03/01/1955,Válido,18
18144,25,Não eleito,LUCIANDREIA GONÇALVES DE MELO,ANDREIA MELO,F,14/03/1966,Válido,18
18808,29,Não eleito,ROSIMEIRE MACHADO DIAS,ROSIMEIRE,F,11/01/1968,Válido,18
18888,775,Não eleito,ANTONIO MARCOS DE FARIAS PEREIRA JUNIOR,DOUTOR ANTONIO,M,03/06/1986,Válido,18
18155,89,Não eleito,JOSÉ BRAZ MIRANDA SILVA,JOSÉ BRAZ,M,03/02/1960,Válido,18
18023,223,Não eleito,JORGE GAMA GARCIA,JORGE GAMA GARCIA,M,13/04/1958,Válido,18
18181,106,Não eleito,ALEXANDRE CONCEIÇÃO NASCIMENTO,ALÊ COLETIVO,M,17/09/1990,Válido,18
18027,351,Não eleito,HÉLIO OLIVEIRA,HÉLIO DA BANCA,M,02/07/1968,Válido,18
18222,403,Não eleito,ROBERTO BRANDÃO PASCOAL,ROBERTO ENERGIA,M,30/09/1977,Válido,18
18008,112,Não eleito,HÉLIO ONDIÁRIA VASCONCELOS FILHO,HÉLIO ONDIÁRIA,M,27/03/1962,Válido,18
18528,227,Não eleito,EDESIO ASSIS DE SANTANA,ASSIS SANTANA,M,12/02/1978,Válido,18
18022,58,Não eleito,RICARDO CÉSAR FREITAS CERQUEIRA,RICARDO CÉSAR,M,27/03/1970,Válido,18
18040,95,Não eleito,ARIOSVALDO COSME SENA DOS SANTOS,ARI SENA,M,27/09/1958,Válido,18
18069,58,Não eleito,LUIS FLAVIO SANTOS SILVA,LUIS FLAVIO,M,01/05/1980,Válido,18
18333,176,Não eleito,ROMILDA COSTA PEREIRA,ROMILDA COSTA,F,04/11/1960,Válido,18
18531,60,Não eleito,DOUGLAS DANILO SOUZA NASCIMENTO,DOUGLAS DANILO,M,03/02/1985,Válido,18
18201,55,Não eleito,EDSON RONAN FREITAS DOS ANJOS,EDSON RONAN,M,25/04/1983,Válido,18
18000,1433,Não eleito,MARCELO CARVALHO LAVIGNE,MARCELO CARVALHO,M,14/10/1980,Válido,18
18010,951,Não eleito,SILAS MARCOS DE SANTANA LOPES,SILAS LOPES,M,08/01/1990,Válido,18
18100,4,Não eleito,ELISIO DUYPRATH DE ANDRADE FILHO,ELISIO ANDRADE,M,12/08/1969,Válido,18
18180,363,Não eleito,ANDREA MARQUES SILVA,ANDREA MARQUES,F,17/06/1975,Válido,18
