numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
18188,831,Não eleito,IZAIAS AMARAL,DR IZAIAS,M,28/05/1959,Válido,18
18125,92,Não eleito,FRANCISCO DAS CHAGAS SILVA ARAUJO,CHIQUINHO,M,21/05/1974,Válido,18
18123,522,Não eleito,JOSÉ ALDI MACENA LICAR,PACA,M,04/11/1964,Válido,18
18018,93,Não eleito,THEYLON PAIVA MARTINS,THEYLON BANDA IMAGEM,M,28/04/1977,Válido,18
18963,159,Não eleito,SILVIO PEREIRA BARRA,SILVIO BARRA,M,02/03/1969,Válido,18
18133,34,Não eleito,MARIA JOSE DOS SANTOS MOREIRA,ZEZÉ MOREIRA,F,13/04/1949,Válido,18
18000,737,Não eleito,AUGUSTO CESAR DE CARVALHO CALDAS,AUGUSTO CALDAS,M,02/08/1968,Válido,18
18888,301,Não eleito,INALDO RIBEIRO DE SOUZA,INALDO RIBEIRO,M,26/05/1970,Válido,18
18555,30,Não eleito,BERNARDO LIMA DOS SANTOS,LIMA,M,12/01/1955,Válido,18
18111,558,Não eleito,NILTON DO ESPIRITO SANTO BRAGA RODRIGUES JUNIOR,NILTON GOMES JUNIOR,M,21/11/1997,Válido,18
18011,672,Não eleito,FRANCISCO GERALDO  NASCIMENTO,GERALDO NASCIMENTO,M,19/09/1958,Válido,18
18020,134,Não eleito,TELMA MARQUES AROUCHE,TELMA MARQUES,F,20/03/1957,Válido,18
18100,84,Não eleito,CELLY CLAUDIA SANTOS GOMES,SGT. CLAUDINHA,F,10/10/1979,Válido,18
18010,587,Não eleito,JOSE DE RIBAMAR FERREIRA,RIBINHA AMBULANTE,M,06/02/1970,Válido,18
18777,177,Não eleito,ADALGISA TORRES DA SILVA,ADALGISA TORRES,F,17/08/1955,Válido,18
18380,5,Não eleito,ROBERT ANDREWS BEZERRA ALBERTO,ROBERT LEMOS,M,07/10/1973,Válido,18
18789,4,Não eleito,SUZANA SAMARA DOMINICI SIMEAO,SUZANA DOMINICE,F,18/05/1983,Válido,18
18001,19,Não eleito,RONNYELLE PINTO DO CARMO,RONNY MEIRELES,M,08/06/1994,Válido,18
77193,142,Não eleito,MANOEL CAMILO DO NASCIMENTO NETO,BOMBEIRO CAMILLO NETO,M,03/06/1972,Válido,77
77190,138,Não eleito,TIAGO PEREIRA FONSECA,TIAGÃO MEU QUERIDO,M,27/11/1985,Válido,77
77333,368,Não eleito,CARLOS ROMULO VIANA MOURA,PROFESSOR RÔMULO,M,31/08/1966,Válido,77
77778,455,Não eleito,JACIARA DE FATIMA DUTRA FRAZÃO,JACIARA FRAZÃO,F,03/11/1971,Válido,77
77123,436,Não eleito,JOÃO LOPES SABINO,JOÃO LOPES,M,18/10/1980,Válido,77
77222,78,Não eleito,RAQUEL CARVALHO DE SOUSA,RAQUEL CARVALHO,F,16/09/1976,Válido,77
77309,15,Não eleito,SUELY NADJA RIBEIRO OLIVEIRA,SUELY OLIVEIRA,F,14/12/1991,Válido,77
77200,2,Não eleito,DEBORA CAROLYNE ARAUJO DA COSTA,DEBORA COSTA,F,18/04/1997,Válido,77
77892,21,Não eleito,MAURO DIAS DA CONCEIÇÃO,MAURO DIAS,M,29/08/1976,Válido,77
77999,129,Não eleito,ANDYARA REGINA CABRAL NOGUEIRA,ANDYARA CABRAL,F,20/09/1968,Válido,77
77233,27,Não eleito,ANA MARIA ALMEIDA COSTA,ANA MARIA DO SÁ VIANA,F,07/12/1966,Válido,77
77477,171,Não eleito,SILVIA REGINA DAS GRAÇAS OLIVEIRA SALGADO,SILVIA SALGADO,F,01/08/1979,Válido,77
77666,0,Não eleito,ANTÔNIO AUGUSTO SERRÃO BASTOS,AUGUSTO BASTOS,M,19/09/1959,Válido,77
77345,95,Não eleito,JOSÉ RAIMUNDO PEREIRA TEIXEIRA,RAIMUNDINHO TEIXEIRA,M,14/03/1989,Válido,77
77321,572,Não eleito,ELINALDO VASCONCELOS DOS ANJOS,ELINALDO VASCONCELOS BEIÇO,M,30/09/1976,Válido,77
77777,32,Não eleito,JUDSON MELLADO AGUILAR,JUDSON MELLADO,M,22/04/1972,Válido,77
77111,143,Não eleito,SYLVIO CESAR COSTA DE BRITO,PROFESSOR SYLVIO BRITO,M,18/08/1969,Válido,77
77223,282,Não eleito,MARCOS AURÉLIO LIMA CUNHA,MARCOS CUNHA,M,30/06/1978,Válido,77
77555,312,Não eleito,MARIA ESTELITA DA SILVA E SILVA,PASTORA KAKÁ,F,09/10/1971,Válido,77
77007,60,Não eleito,GEAN EMERSON PINHEIRO FERREIRA,SGT GEAN,M,23/02/1973,Válido,77
77444,321,Não eleito,MARIO VICTOR RIBEIRO SANTOS,MARIO BATATINHA,M,28/03/1994,Válido,77
77167,152,Não eleito,JOÃO AMIRO DOS SANTOS,MIRO DO FUXICO,M,08/08/1967,Válido,77
77307,0,Não eleito,FRANCISCA MARIA DE ARAUJO DA COSTA,FRANCISCA MARIA,F,04/10/1979,Válido,77
77610,182,Não eleito,PEDRO PAULO ALVES MADEIRA,PEDRO PAULO O HOMEM DO POVO,M,29/07/1958,Válido,77
77365,97,Não eleito,ETEVALDO DA CONCEIÇÃO MARINHO RIBEIRO,PENALVA,M,08/12/1959,Válido,77
77010,62,Não eleito,PEDRO CASTRO BASTOS,PEDRO CASTRO,M,25/01/1964,Válido,77
77991,30,Não eleito,ALEXSANDRO THADIS DINIZ VILAR,ALEXSANDRO VILAR,M,15/07/1994,Válido,77
77099,437,Não eleito,VILCIMAR DE JESUS PINTO,PASTORA VILCIMAR,F,19/12/1960,Válido,77
77000,606,Não eleito,FRANCISCO DO VALE,FRANCISCO DO VALE,M,14/03/1977,Válido,77
77456,3560,Não eleito,AFONSO MANOEL BORGES FERREIRA,AFONSO MANOEL,M,12/02/1956,Válido,77
77300,11,Não eleito,LUIZ CARLOS FARIAS DO LAGO FILHO,CARLINHOS LAGO FILHO,M,08/01/1966,Válido,77
77177,205,Não eleito,ABRAÃO ABREU ESTRELA,PROF ABRAÃO ESTRELA,M,28/09/1979,Válido,77
50555,76,Não eleito,JOSE MAGUINO CUTRIM,MAGUINO CUTRIM,M,18/12/1975,Válido,50
50100,242,Não eleito,ALINE MARIA DOS SANTOS PEREIRA,ALINE MARIA,F,21/03/1984,Válido,50
50999,337,Não eleito,KEYSSE DAYANE DE SOUSA,KEYSSE,F,23/10/1991,Válido,50
50050,114,Não eleito,LEONEL PEREIRA TORRES,PROF LEONEL,M,03/05/1967,Válido,50
