numero_partido,votos_legenda,nome_partido,sigla_partido
18,378,Rede Sustentabilidade,REDE
77,160,Solidariedade,SOLIDARIEDADE
50,276,Partido Socialismo e Liberdade,PSOL
20,311,Partido Social Cristão,PSC
55,193,Partido Social Democrático,PSD
17,350,Partido Social Liberal,PSL
19,6694,Podemos,PODE
10,3090,REPUBLICANOS,REPUBLICANOS
51,230,Patriota,PATRIOTA
13,328,Partido dos Trabalhadores,PT
16,238,Partido Socialista dos Trabalhadores Unificado,PSTU
45,189,Partido da Social Democracia Brasileira,PSDB
40,614,Partido Socialista Brasileiro,PSB
14,345,Partido Trabalhista Brasileiro,PTB
36,136,Partido Trabalhista Cristão,PTC
33,407,Partido da Mobilização Nacional,PMN
35,126,Partido da Mulher Brasileira,PMB
43,128,Partido Verde,PV
23,306,Cidadania,CIDADANIA
27,175,Democracia Cristã,DC
70,277,AVANTE,AVANTE
30,248,Partido Novo,NOVO
28,422,Partido Renovador Trabalhista Brasileiro,PRTB
90,199,Partido Republicano da Ordem Social,PROS
12,1233,Partido Democrático Trabalhista,PDT
65,2540,Partido Comunista do Brasil,PC do B
22,550,Partido Liberal,PL
11,416,PROGRESSISTAS,PP
25,2572,Democratas,DEM
15,329,Movimento Democrático Brasileiro,MDB
