numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11110,150,Suplente,EDUARDO JOSÉ DA SILVA,EDUARDO JOSÉ,M,15/03/1983,Válido,11
11500,95,Suplente,JOSÉ EVANGELISTA DE PAULA SILVA,EVANGELISTA DO POVÃO,M,18/03/1972,Válido,11
11123,4103,Eleito,MANOEL BEZERRA DA SILVA NETO,NETO DO ANGELIM,M,05/11/1973,Válido,11
11113,2004,Suplente,STANLEY FREIRE COSTA E SILVA,STANLEY FREIRE,M,29/10/1991,Válido,11
11234,2017,Suplente,PEDRO FERNANDES LEITE,PEDRO FERNANDES,M,05/05/1967,Válido,11
11112,498,Suplente,MARIA FERREIRA CASTELO BRANCO ROCHA,MARIOLA,F,25/12/1947,Válido,11
11530,35,Suplente,CRISTIANE DO NASCIMENTO CARDOSO,CHRISTIANE CARDOSO,F,02/02/1980,Válido,11
11741,4039,Suplente,MARIA DAS GRAÇAS DA SILVA AMORIM,GRAÇA AMORIM,F,21/07/1960,Válido,11
11555,286,Suplente,JURANDI DE AGUIAR VIANA,JURANDI  VIANA,M,10/06/1967,Válido,11
11888,60,Suplente,FLÁVIO DANTAS LAGO,FLÁVIO DANTAS,M,22/09/1976,Válido,11
11120,25,Suplente,ROMARIO BATISTA MIRANDA,ROMÁRIO VEREADOR,M,01/02/1973,Válido,11
11444,3426,Suplente,VICTOR LINHARES DE PAIVA,VICTOR LINHARES,M,30/09/1986,Válido,11
11225,180,Suplente,AURICELIA NUNES EVANGELISTA FREITAS,AURICELIA NUNES,F,25/08/1977,Válido,11
11162,148,Suplente,ZENAIDE FERREIRA DA SILVA,ZENAIDE FERREIRA,F,02/01/1962,Válido,11
11456,4034,Suplente,INÁCIO HENRIQUE CARVALHO,INÁCIO CARVALHO,M,29/03/1960,Válido,11
11115,107,Suplente,MARCELA TAVARES SILVA,MARCELA TAVARES SILVA,F,06/06/1977,Válido,11
11333,228,Suplente,JOSELÉ ELIAS MARTINS,JOSELÉ MARTINS,M,03/01/1973,Válido,11
11463,287,Suplente,LAURA MARIA MARQUES,LAURINHA,F,04/07/1963,Válido,11
11232,38,Suplente,HÉLIO BARBOSA RIBEIRO MAGALHÃES,HÉLIO DA MACAÚBA,M,16/10/1959,Válido,11
11567,4484,Eleito,VALDEMIR SIVIRINO VIRGINO,VALDEMIR VIRGINO,M,19/01/1963,Válido,11
11789,1469,Suplente,LUCIANA PINTO DE SOUSA SILVEIRA ASSUNÇÃO,LUCIANA SEBIM,F,20/12/1984,Válido,11
11678,143,Suplente,ERLAN DE SOUSA RABELO,ERLAN,M,27/02/1978,Válido,11
11134,79,Suplente,VIRNA LISI DA CRUZ SANTOS,CANTORA VIRNA LISI,F,19/02/1972,Válido,11
11100,41,Suplente,FRANCISCO DE ASSIS DE SOUSA,DE ASSIS,M,27/10/1963,Válido,11
11777,678,Suplente,ALEXANDRE AUGUSTO ANDRADE ALMEIDA,ALEXANDRE ALMEIDA,M,03/04/1988,Válido,11
11256,151,Suplente,IRALDENON ROCHA MONTEIRO,PROFESSOR IRAL,M,09/12/1967,Válido,11
11455,209,Suplente,LUCIA ALVES DE ARAUJO LIMA,LUCINHA LIMA,F,29/09/1968,Válido,11
11999,1958,Suplente,CELINA DA COSTA TOURINHO,CELINA TOURINHO,F,10/11/1973,Válido,11
11190,126,Suplente,ANTONIO MARCOS DA SILVA SANTOS,MARCOS ANTÔNIO,M,18/10/1975,Válido,11
11576,35,Suplente,MANOEL ALMEIDA DE MORAIS,CORONEL ALMEIDA,M,18/06/1960,Válido,11
11144,109,Suplente,SANDRA MARIA BARBOSA MAGALHÃES,JAMAIKA,F,01/09/1972,Válido,11
11111,4712,Eleito,ALUÍSIO PARENTES SAMPAIO NETO,ALUÍSIO SAMPAIO,M,11/05/1980,Válido,11
11000,1338,Suplente,ELIZEU MORAIS DE AGUIAR,ELIZEU AGUIAR,M,28/05/1966,Válido,11
11258,1501,Suplente,TATIANA MARIA MELO GUIMARÃES DOS SANTOS,ENFERMEIRA TATIANA MELO,F,28/05/1979,Válido,11
15678,108,Suplente,MARIA JOSÉ MORAIS CUNHA,MAZÉ,F,20/03/1949,Válido,15
15109,89,Suplente,LUIZ FÁBIO DA SILVA,FÁBIO DA VILA MOCAMBINHO,M,13/01/1973,Válido,15
15155,207,Suplente,ELIZABETH LOURDES FERREIRA DE OLIVEIRA,BETH CUSCUZ,F,05/05/1953,Válido,15
15031,16,Suplente,RAIMUNDO BORGES QUARESMA,QUARESMA,M,24/05/1955,Válido,15
15555,3534,Suplente,JOAQUIM SILVIO CALDAS FILHO,JOAQUIM DO ARROZ,M,03/10/1968,Válido,15
15001,82,Suplente,ANTÔNIO DA SILVA VERAS,ANTÔNIO VERAS,M,29/11/1962,Válido,15
15114,1747,Suplente,MARCOS AURÉLIO ALVES MONTEIRO,MARQUIM MONTEIRO,M,13/05/1983,Válido,15
15666,94,Suplente,ALDENICE COSTA MORAES,ALDENICE MORAES,F,26/06/1982,Válido,15
15444,79,Suplente,CLAUDETE MIRANDA CASTRO,CLAUDETE MIRANDA,F,21/03/1978,Válido,15
15123,11062,Eleito,JEOVA BARBOSA DE CARVALHO ALENCAR,JEOVÁ ALENCAR,M,16/04/1974,Válido,15
15690,3774,Eleito,LUIZ GONZAGA LOBÃO CASTELO BRANCO,DR LUIZ LOBÃO,M,28/05/1957,Válido,15
15151,1987,Suplente,JOSÉ RONCALLI COSTA PAULO FILHO,RONCALLI FILHO,M,10/06/1994,Válido,15
15789,78,Suplente,LUIS CABRAL,CABRAL,M,10/05/1959,Válido,15
15220,112,Suplente,MARILENE CAMPELO DE SOUSA,MARILENE CAMPELO,F,12/01/1985,Válido,15
15111,485,Suplente,VALDEMAR DA PENHA,VALDEMAR DA PENHA,M,25/09/1960,Válido,15
15110,3135,Suplente,DANIEL ARAÚJO DE CARVALHO,DANIEL CARVALHO,M,26/01/1995,Válido,15
15680,4095,Eleito,JOSÉ NITO DE OLIVEIRA SOUSA,PROFESSOR ZÉ NITO,M,22/09/1964,Válido,15
15957,163,Suplente,FRANCISCO DAS CHAGAS PINHEIRO MARTINS,PINHEIRO MARTINS,M,09/07/1957,Válido,15
15134,113,Suplente,ADRIANA AIRES GRANJA,ADRIANA AIRES DETERMINADA,F,09/09/1976,Válido,15
15777,196,Suplente,MARCELO MELO LIMA,CAPITÃO MARCELO,M,16/02/1974,Válido,15
15100,94,Suplente,GEORGE ALMEIDA LOPES BEZERRA,DR GEORGE ALMEIDA,M,20/07/1974,Válido,15
15228,112,Suplente,ANTÔNIO FERREIRA DA SILVA,PANZILÃO,M,23/01/1948,Válido,15
15999,30,Suplente,GILSON RODRIGUES SOARES,MIRIM PLAYBOY,M,06/03/1974,Válido,15
15222,321,Suplente,FABIANA ALVES CAVALCANTE MONTEIRO,FABIANA MONTEIRO,F,30/06/1976,Válido,15
15800,75,Suplente,MARIA DO SOCORRO COSTA,SOCORRO DA PONTUAL,F,21/02/1950,Válido,15
15000,668,Suplente,ELIELSON MACIEL SANTANA,ELIELSON SANTANA,M,06/05/1979,Válido,15
15115,307,Suplente,ANTÔNIO CLEMILTON COSTA LIMA,PROFESSOR CLEMILTON,M,02/10/1968,Válido,15
15456,61,Suplente,SEBASTIÃO MIRANDA SOUSA,CÁSSIO BRUNO,M,20/01/1970,Válido,15
15010,121,Suplente,SIMÃO TELES BACELAR,SIMA,M,07/03/1948,Válido,15
15369,48,Suplente,RAIMUNDO BACELAR DE CARVALHO FILHO,BACELAR O CAJU,M,10/04/1956,Válido,15
15012,98,Suplente,VALDILENE BRITO DE OLIVEIRA,VALDILENE,F,05/11/1974,Válido,15
15333,200,Suplente,DENILDES RODRIGUES DE LIMA,NEGRA DILL,F,19/02/1985,Válido,15
25251,900,Suplente,DAVID ALVES DA SILVA,DAVID DA GENTE,M,03/09/1979,Válido,25
25002,51,Suplente,FRANCISCA DE SALES RODRIGUES FERREIRA,FRANCIROSE,F,28/07/1956,Válido,25
25622,452,Suplente,FLORÊNCIO RIBEIRO DE CARVALHO NETO,FLORÊNCIO RIBEIRO,M,13/11/1949,Válido,25
25101,1436,Suplente,EVALDO LUCAS DO NASCIMENTO,LUCAS DO BEM,M,28/01/1973,Válido,25
25952,145,Suplente,ROBERT DIAS DE ALMEIDA,ROBERT DIAS,M,26/04/1953,Válido,25
25555,838,Suplente,JOSÉ MILTON DE CARVALHO FERREIRA,MILTON CARVALHO,M,29/10/1969,Válido,25
25321,667,Suplente,EVANDRO MARQUES CUNHA,EVANDRO MARQUES,M,21/08/1976,Válido,25
25125,713,Suplente,JOAQUIM RODRIGUES DA SILVA JÚNIOR,JOAQUIM JUNIOR,M,03/01/1979,Válido,25
25100,370,Suplente,DIONISIO CARVALHO NETO,DIONISIO CARVALHO,M,17/12/1985,Válido,25
25900,2,Suplente,LARA WELL MAGALHÃES ROCHA,LARA MAGALHÃES,F,16/07/1990,Válido,25
25007,790,Suplente,JULIO TAJRA FORTES,JULIO TAJRA,M,25/05/1982,Válido,25
