numero_partido,votos_legenda,nome_partido,sigla_partido
11,1006,PROGRESSISTAS,PP
15,5566,Movimento Democrático Brasileiro,MDB
25,298,Democratas,DEM
65,119,Partido Comunista do Brasil,PC do B
30,66,Partido Novo,NOVO
12,1253,Partido Democrático Trabalhista,PDT
28,30,Partido Renovador Trabalhista Brasileiro,PRTB
22,1211,Partido Liberal,PL
70,198,AVANTE,AVANTE
90,58,Partido Republicano da Ordem Social,PROS
55,536,Partido Social Democrático,PSD
50,423,Partido Socialismo e Liberdade,PSOL
20,638,Partido Social Cristão,PSC
17,388,Partido Social Liberal,PSL
43,160,Partido Verde,PV
14,324,Partido Trabalhista Brasileiro,PTB
33,176,Partido da Mobilização Nacional,PMN
40,127,Partido Socialista Brasileiro,PSB
35,207,Partido da Mulher Brasileira,PMB
19,83,Podemos,PODE
45,3283,Partido da Social Democracia Brasileira,PSDB
13,2169,Partido dos Trabalhadores,PT
51,503,Patriota,PATRIOTA
10,285,REPUBLICANOS,REPUBLICANOS
77,305,Solidariedade,SOLIDARIEDADE
80,27,Unidade Popular,UP
18,34,Rede Sustentabilidade,REDE
